Unit_ID,X.1,X,LRR,var.LRR,scale,col,row.ID,Study,dist.inv,pr.st
55,747,-2.48490665,-0.543379269,0.092382029,1.630428586,darkgreen,1971,123,-0.832909123,-0.780814452
56,774,-1.098612289,-3.31678004,0.018148138,1.836558237,darkgreen,2015,126,NA,0.497917126
57,775,-1.098612289,3.63758616,0.263331025,1.497749909,darkgreen,2016,126,NA,0.497917126
58,776,-1.098612289,-1.780948553,0.013025756,1.878565237,darkgreen,2017,126,NA,0.497917126
59,777,-1.098612289,1.450010176,0.785742148,1.359277921,darkgreen,2018,126,NA,0.497917126
60,778,-1.098612289,-0.089803895,0.043106274,1.726980523,darkgreen,2019,126,NA,0.497917126
61,779,-1.098612289,0.140821826,0.007201489,1.953631921,darkgreen,2020,126,NA,0.497917126
62,820,-1.609437912,-1.86758357,0.085086342,1.640848777,darkgreen,2094,132,-1.193922468,0.026726537
63,821,-2.48490665,-1.30347658,0.147369816,1.571274557,darkgreen,2095,132,-1.193922468,-0.780814452
64,822,-3.555348061,-0.114713194,0.182041451,1.544511667,darkgreen,2096,132,-1.193922468,-1.768200157
65,823,-1.609437912,-1.810953916,0.172605895,1.551253204,darkgreen,2097,132,-1.193922468,0.026726537
66,824,-2.48490665,-1.810953916,0.121525008,1.595698693,darkgreen,2098,132,-1.193922468,-0.780814452
67,825,-3.555348061,0.001266625,0.258153709,1.500265054,darkgreen,2099,132,-1.193922468,-1.768200157
68,834,-2.708050201,0.323787077,0.013567715,1.873401822,darkgreen,2138,133,-0.916290732,-0.986644262
69,835,-2.708050201,-0.117783036,0.086771507,1.638364657,darkgreen,2139,133,-0.916290732,-0.986644262
70,836,-2.708050201,0.452887787,0.004993906,2,darkgreen,2140,133,-0.916290732,-0.986644262
71,837,-2.708050201,-0.127870237,0.081646814,1.646075436,darkgreen,2141,133,-0.916290732,-0.986644262
72,845,-2.995732274,-2.525728644,13.40089999,1,darkgreen,2195,136,-1.410986974,-1.25200504
73,847,-2.995732274,-1.32175584,4.479877775,1.138789829,darkgreen,2197,136,-1.410986974,-1.25200504
74,848,-1.609437912,-0.805942675,2.287847815,1.223906513,darkgreen,2198,136,-1.609437912,0.026726537
