Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study,System
56,108,5.010635294,-0.09531018,0.114380165,darkblue,1.007047721,0.183207299,Eriksson&&,M
57,109,5.010635294,0.162518929,0.259550173,darkblue,1.015037435,0.183207299,Eriksson&&,M
58,110,5.010635294,0,0.18,darkblue,1.010780809,0.183207299,Eriksson&&,M
59,111,2.890371758,0.693147181,0.5,darkblue,1.026436495,-0.272281428,Duffy&&2005,M
60,112,2.890371758,0.105360516,0.022345679,darkblue,1.001423651,-0.272281428,Duffy&&2005,M
61,212,2.995732274,0.693147181,0.380208333,darkblue,1.021006075,-0.249647201,ETB015,F
62,214,2.995732274,1.272965676,44.63318639,darkblue,1.249260751,-0.249647201,ETB015,F
63,216,4.043051268,0.693147181,0.004974271,darkblue,1.000305492,-0.02465536,ETB016,F
64,218,3.377587516,-0.133531393,0.005973083,darkblue,1.000370305,-0.167614588,ETB017,F
65,220,1.088379616,0.567984038,0.038831219,darkblue,1.002467355,-0.659397036,ETB020,F
66,222,3.850147602,0.297834444,1.699748039,darkblue,1.064780802,-0.066096174,ETB021,F
67,224,5.117993812,1.731655545,0.418424407,darkblue,1.022788073,0.20627075,ETB021,F
68,226,1.609437912,0.810930216,0.033818673,darkblue,1.002151772,-0.547459923,ETB026,F
69,228,1.609437912,2.185925022,1126947.022,darkblue,1.909178413,-0.547459923,ETB026,F
70,230,1.609437912,-0.113835143,0.079694842,darkblue,1.004984667,-0.547459923,ETB027,F
71,232,1.609437912,0.460449416,4533580.472,darkblue,2,-0.547459923,ETB027,F
72,234,0.783159419,1.481317576,0.189555957,darkblue,1.011307056,-0.724966413,ETB030,F
73,236,0.783159419,1.702498445,0.873387108,darkblue,1.040939444,-0.724966413,ETB031,F
74,238,2.708050201,1.887069649,0.108573105,darkblue,1.006706836,-0.311448925,ETB032,F
75,239,4.272588722,-0.659380318,0.02171767,darkblue,1.001383559,0.02465536,JES052,M
76,240,4.272588722,-0.579818495,0.014897959,darkblue,1.000946602,0.02465536,JES052,M
77,241,4.272588722,-0.736164566,0.054710848,darkblue,1.003457154,0.02465536,JES052,M
78,242,4.272588722,-0.863646998,0.030940469,darkblue,1.001969872,0.02465536,JES052,M
79,243,4.272588722,-0.875468737,0.021513889,darkblue,1.001370545,0.02465536,JES052,M
80,244,4.272588722,-0.313657559,0.024518514,darkblue,1.001562173,0.02465536,JES052,M
81,245,4.272588722,-1.268367967,0.000279782,darkblue,1,0.02465536,JES052,M
82,246,4.272588722,-0.758744463,0.012238849,darkblue,1.00077543,0.02465536,JES052,M
83,247,4.272588722,-1.623424154,0.008553595,darkblue,1.000537458,0.02465536,JES052,M
84,248,4.272588722,-1.307351159,0.022916298,darkblue,1.001460057,0.02465536,JES052,M
85,249,4.272588722,-1.294486812,0.022903201,darkblue,1.001459222,0.02465536,JES052,M
86,250,4.272588722,-1.116630794,0.025461892,darkblue,1.001622223,0.02465536,JES052,M
