Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,row,Study
1,2,0.5,-0.25,0.018474044,darkgreen,1.58876233,-0.524017467,2,Allison_2008
2,3,1.2,0.15,0.007290224,darkgreen,1.413606736,-0.371179039,3,Allison_2010
3,9,0.65,0.17,0.008727527,darkgreen,1.447504087,-0.491266376,9,Bergner_2004
4,16,0.8,-0.29,0.107181136,darkgreen,1.919951482,-0.458515284,16,Bokhors_2007
5,17,0.8,0.34,0.081499593,darkgreen,1.86835185,-0.458515284,17,Bokhorst_2007
6,18,0.8,0.17,0.036927622,darkgreen,1.719228367,-0.458515284,18,Bokhorst_2007
7,28,3.5,0.48,0.031655587,darkgreen,1.690210373,0.131004367,28,Briones_2009
8,29,5,0.09,0.015503876,darkgreen,1.55574489,0.458515284,29,Bronson_2008
9,30,5,-0.22,0.006849315,darkgreen,1.401854958,0.458515284,30,Bronson_2008
10,37,1.35,0.29,0.033211558,darkgreen,1.69924914,-0.338427948,37,Christensen_1997
11,40,3.15,0.06,0.100401606,darkgreen,1.907642784,0.054585153,40,Comstedt_2006
12,43,3,0.07,0.003333333,darkgreen,1.26619307,0.021834061,43,De Boeck_2007
13,49,4,-0.1,0.055218112,darkgreen,1.795016811,0.240174672,49,Edwards_1999
14,50,4,0.06,0.050150451,darkgreen,1.776883341,0.240174672,50,Edwards_1999
15,52,1.1,0.06,0.006666667,darkgreen,1.396763478,-0.3930131,52,Emmett_2004
16,53,0.6,0.03,0.006666667,darkgreen,1.396763478,-0.502183406,53,Emmett_2004
17,54,0.5,0.17,0.006666667,darkgreen,1.396763478,-0.524017467,54,Emmett_2004
18,55,0.9,0,0.006666667,darkgreen,1.396763478,-0.436681223,55,Emmett_2004
19,62,3,-0.27,0.031152648,darkgreen,1.687193497,0.021834061,62,Garten Jr_2009
20,63,3,0.09,0.009543806,darkgreen,1.464346609,0.021834061,63,Garten Jr_2009
21,67,3,0.04,0.002222222,darkgreen,1.189814277,0.021834061,67,Grogan_2000
22,68,3,0.06,0.002222222,darkgreen,1.189814277,0.021834061,68,Grogan_2000
23,69,4,0.29,0.027540622,darkgreen,1.66397891,0.240174672,69,Hagedorn_2010
24,73,3,-0.41,0.010550749,darkgreen,1.483241296,0.021834061,73,Hartley_2007
25,74,3,-0.43,0.00723275,darkgreen,1.412115773,0.021834061,74,Hartley_2007
26,75,3,-0.45,0.008470987,darkgreen,1.441883971,0.021834061,75,Hartley_2007
27,93,1.6,-0.06,0.006666667,darkgreen,1.396763478,-0.283842795,93,Lellei-Kov?s_2008
28,96,4,0.37,0.004210526,darkgreen,1.310199866,0.240174672,96,Lin_1999
29,97,4,0.31,0.002738976,darkgreen,1.229198664,0.240174672,97,Lin_1999
30,98,1.55,0.08,0.001628426,darkgreen,1.13125017,-0.294759825,98,Lin_2011
31,99,1.08,-0.07,0.003579995,darkgreen,1.279640774,-0.397379913,99,Liu_2009
32,102,2.1,0.07,0.00081128,darkgreen,1,-0.174672489,102,Luo_2009
33,104,2.5,0.3,0.006666667,darkgreen,1.396763478,-0.087336245,104,Marchand_2004
34,105,5,0.26,0.006666667,darkgreen,1.396763478,0.458515284,105,McHale_1998
35,106,5,0.18,0.006666667,darkgreen,1.396763478,0.458515284,106,McHale_1998
36,107,5,0.02,0.006666667,darkgreen,1.396763478,0.458515284,107,McHale_1998
37,111,5,0.13,0.015832806,darkgreen,1.559699605,0.458515284,111,Melillo_2002
38,112,5,0.08,0.002873894,darkgreen,1.23825636,0.458515284,112,Melillo_2011
39,117,5,0.36,0.022246941,darkgreen,1.623769206,0.458515284,117,Niinist?2004
40,124,0.42,0.04,0.001236293,darkgreen,1.07935395,-0.541484716,124,Pan_2008
41,132,5,0.5,0.003831271,darkgreen,1.292419105,0.458515284,132,Peterjohn_1993
42,145,5,0.34,0.048169557,darkgreen,1.769291842,0.458515284,145,Rustad_1998
43,146,0.9,-0.04,0.00480723,darkgreen,1.335165616,-0.436681223,146,Saleska_2002
44,153,4,0.31,0.007426662,darkgreen,1.417099594,0.240174672,153,Schindlbacher_2009
45,175,1.4,0.46,0.080256822,darkgreen,1.865457258,-0.327510917,175,Sjogersten_2008
46,176,1.4,0.2,0.017164435,darkgreen,1.574911771,-0.327510917,176,Sjogersten_2008
47,182,1,0.41,0.032226877,darkgreen,1.693579643,-0.414847162,182,Strebel_2010
48,188,2.9,0.05,0.006287726,darkgreen,1.385739789,0,188,Updegraff_2001
49,189,2.9,0.15,0.016835017,darkgreen,1.571261385,0,189,Updegraff_2001
50,190,2.9,0.27,0.0486618,darkgreen,1.771207055,0,190,Updegraff_2001
51,191,2.9,0.29,0.084530854,darkgreen,1.875230975,0,191,Updegraff_2001
52,198,1.7,0.04,0.006591089,darkgreen,1.394615755,-0.262008734,198,Wan_2005
53,199,3,-0.02,0.055157198,darkgreen,1.794808893,0.021834061,199,Wan_2007
54,200,3,-0.07,0.062656642,darkgreen,1.818823177,0.021834061,200,Wan_2007
