Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
1,0.6,1.406295028,0.071547216,darkgreen,1.587638032,-0.159210526,9
2,0.843137255,-0.251314428,0.032753842,darkgreen,1.661173933,0.098856209,33
3,0.843137255,0.36772478,0.018262839,darkgreen,1.716151645,0.098856209,33
4,0.95,0.984784641,0.017284396,darkgreen,1.721334038,0.212280702,38
5,0.366666667,0.087011377,0.002973628,darkgreen,1.886979213,-0.406871345,48
6,0.848484848,0.285251938,0.002142883,darkgreen,1.917814312,0.104532163,48
7,0.948717949,-0.060624622,0.00340625,darkgreen,1.874195586,0.210919928,48
8,0.578947368,-0.31523726,0.002737069,darkgreen,1.894780922,-0.181555864,83
9,0.301969365,-0.002594035,0.019633452,darkgreen,1.70934084,-0.475541288,196
10,0.9,0.85238693,0.014597425,darkgreen,1.737235686,0.159210526,273
11,0.95,-0.268263987,0.039243961,darkgreen,1.644159999,0.212280702,275
12,0.95,-0.436717652,0.088021652,darkgreen,1.568134939,0.212280702,275
13,0.75,-0.460108001,0.032427362,darkgreen,1.662116753,0,410
14,0.75,-0.1251042,0.044756281,darkgreen,1.63179001,0,410
15,0.75,-1.296524362,0.009377498,darkgreen,1.778884791,0,410
16,0.75,0.188400603,0.032183744,darkgreen,1.662826486,0,410
17,0.75,0.195744577,0.017350603,darkgreen,1.720974222,0,410
18,0.44,0.330663895,0.024482679,darkgreen,1.688566643,-0.329035088,423
19,0.568935428,0.129356021,0.01277842,darkgreen,1.749761258,-0.192182572,5
20,0.716346154,0.629574377,0.001212843,darkgreen,1.971383399,-0.03572031,5
21,0.978851964,0.769469448,0.001689219,darkgreen,1.94020304,0.242904278,5
22,0.6,3.841242823,0.03812124,darkgreen,1.64689179,-0.159210526,9
23,0.6,2.900422094,0.049862587,darkgreen,1.621621857,-0.159210526,9
24,1,0.42825447,0.063978584,darkgreen,1.598161003,0.265350877,13
25,1,-0.118708987,0.077065505,darkgreen,1.580645426,0.265350877,13
26,0.266019417,0.251000506,0.041406776,darkgreen,1.639110991,-0.513698689,32
27,0.465174129,0.07126302,0.010733527,darkgreen,1.766173635,-0.302315179,32
28,0.843137255,0.144830948,0.00417124,darkgreen,1.85512767,0.098856209,33
29,0.843137255,0.020834087,0.027922532,darkgreen,1.676193468,0.098856209,33
30,0.843137255,-0.075035186,0.021780795,darkgreen,1.699572244,0.098856209,33
31,0.843137255,0,0.00499241,darkgreen,1.838214618,0.098856209,33
32,0.843137255,0.250144153,0.125607941,darkgreen,1.534669124,0.098856209,33
33,0.843137255,0.023810649,0.83818707,darkgreen,1.356030893,0.098856209,33
34,0.95,1.031535127,0.023757524,darkgreen,1.691396374,0.212280702,38
35,0.25,0.293761119,2.733235137,darkgreen,1.244786459,-0.530701755,63
36,0.578947368,-0.274436846,0.00458795,darkgreen,1.846166003,-0.181555864,83
37,0.578947368,-0.740352087,0.025787373,darkgreen,1.683680257,-0.181555864,83
38,0.64,-0.426929347,0.045409851,darkgreen,1.630425593,-0.116754386,100
39,0.64,-0.296265816,0.137480739,darkgreen,1.526168773,-0.116754386,100
40,0.466666667,-0.207639365,0.00538554,darkgreen,1.831080779,-0.300730994,123
41,0.85,2.878271351,0.008753973,darkgreen,1.785360435,0.106140351,216
42,0.05785124,0.171850257,0.046236582,darkgreen,1.62872754,-0.734649123,239
43,0.05785124,0.609064063,0.686202334,darkgreen,1.374860453,-0.734649123,239
44,0.7,0.823200309,0.024939685,darkgreen,1.686826032,-0.053070175,260
45,0.7,0.32954067,0.100884121,darkgreen,1.555298562,-0.053070175,260
46,0.7,1.138701414,0.093613486,darkgreen,1.562338217,-0.053070175,260
47,0.9,0.693147181,0.062847222,darkgreen,1.599840179,0.159210526,272
48,0.9,0.430157721,0.105391449,darkgreen,1.551184874,0.159210526,272
49,0.9,-0.593774707,0.892107987,darkgreen,1.350163184,0.159210526,272
50,0.9,0.78845736,0.046694215,darkgreen,1.627800599,0.159210526,273
51,0.95,-0.510825624,0.027143796,darkgreen,1.678855565,0.212280702,275
52,0.819327731,-1.88959081,0.1885753,darkgreen,1.496427019,0.073584697,308
53,0.76,0.628608659,0.036062674,darkgreen,1.652116443,0.010614035,341
54,0.869565217,0.478394288,0.061976383,darkgreen,1.601153404,0.126906941,348
55,0.18,0.278509147,0.283079575,darkgreen,1.458194446,-0.605,392
56,0.99,-0.205852054,0.021151284,darkgreen,1.702332462,0.254736842,393
57,0.75,1.011600912,6.365358127,darkgreen,1.165222725,0,410
58,0.75,-0.144581229,0.041792802,darkgreen,1.638237639,0,410
59,0.75,0.064538521,0.00556713,darkgreen,1.827959715,0,410
60,0.75,0.693147181,0.052083333,darkgreen,1.617520868,0,410
61,0.75,-1.098612289,36.83333333,darkgreen,1,0,410
62,0.44,0.656779536,0.032368915,darkgreen,1.66228654,-0.329035088,423
63,0.568935428,-0.072570693,0.020249324,darkgreen,1.706433938,-0.192182572,5
64,0.716346154,0.15415068,0.001692003,darkgreen,1.940048056,-0.03572031,5
65,0.978851964,0.361013346,0.005563454,darkgreen,1.828021881,0.242904278,5
66,0.6,3.140265424,0.357865773,darkgreen,1.43613097,-0.159210526,9
67,0.266019417,0.107630664,0.085284928,darkgreen,1.571107583,-0.513698689,32
68,0.465174129,0.111225635,0.018541771,darkgreen,1.714725068,-0.302315179,32
69,0.843137255,0.089612159,0.005462572,darkgreen,1.829744136,0.098856209,33
70,0.843137255,0.532464799,0.005227314,darkgreen,1.833887302,0.098856209,33
71,0.95,0.290322089,0.183077693,darkgreen,1.499211592,0.212280702,38
72,0.466666667,-0.446287103,0.004580556,darkgreen,1.846317803,-0.300730994,123
73,0.85,-1.070703501,0.029593397,darkgreen,1.670723733,0.106140351,216
74,0.9,-0.075223421,0.042717687,darkgreen,1.636177553,0.159210526,272
