Unit_ID,X.1,X,LRR,var.LRR,scale,col,row.ID,Study,dist.inv,pr.st
1,871,0,-0.58639874,0.073133837,1.306195915,darkgreen,30,3,NA,1.63811865
2,872,-2.708050201,-0.224795079,0.460447778,1.165741792,darkgreen,56,4,NA,-0.586268302
3,873,-2.708050201,0.676340062,0.298546394,1.198816883,darkgreen,57,4,NA,-0.586268302
4,874,-2.708050201,0.034426808,0.062864136,1.317746958,darkgreen,58,4,NA,-0.586268302
5,875,-2.708050201,1.031920914,0.056748431,1.325559942,darkgreen,59,4,NA,-0.586268302
6,876,-2.708050201,0.536912198,0.016736742,1.418769758,darkgreen,60,4,NA,-0.586268302
7,877,-2.708050201,-0.039795464,0.005245883,1.507333769,darkgreen,61,4,NA,-0.586268302
8,878,-2.708050201,0.728714945,0.01533555,1.425444163,darkgreen,62,4,NA,-0.586268302
9,879,-2.708050201,0.185747026,0.007829166,1.476767263,darkgreen,63,4,NA,-0.586268302
10,880,-2.708050201,-0.201004507,0.051550548,1.332893323,darkgreen,64,4,NA,-0.586268302
11,881,-2.708050201,-0.27432916,0.067727303,1.312058774,darkgreen,65,4,NA,-0.586268302
12,882,-2.708050201,0.638820627,0.036262637,1.359746965,darkgreen,66,4,NA,-0.586268302
13,883,-2.708050201,0.409585248,0.072248282,1.307125906,darkgreen,67,4,NA,-0.586268302
14,884,-2.708050201,-1.140936913,0.087034632,1.292912036,darkgreen,68,4,NA,-0.586268302
15,885,-2.708050201,0.935396391,0.304399915,1.197334636,darkgreen,69,4,NA,-0.586268302
16,886,-2.708050201,0.474343622,0.173078932,1.240434414,darkgreen,70,4,NA,-0.586268302
17,887,-2.708050201,3.527410393,4.037451219,1,darkgreen,71,4,NA,-0.586268302
18,888,-2.708050201,-0.663452216,0.101847733,1.280913849,darkgreen,72,4,NA,-0.586268302
19,889,-2.708050201,-0.980225206,0.1607214,1.246089144,darkgreen,73,4,NA,-0.586268302
20,890,-2.708050201,-2.879028201,0.170371669,1.241637907,darkgreen,74,4,NA,-0.586268302
21,906,-2.708050201,0.057158414,0.004372774,1.521230714,darkgreen,90,4,NA,-0.586268302
22,907,-2.48490665,-1.885091409,1.210447778,1.091958008,darkgreen,115,4,NA,-0.402978641
23,908,-2.48490665,-0.033901552,0.307538643,1.196551535,darkgreen,116,4,NA,-0.402978641
24,909,-2.48490665,0.297051353,0.005709269,1.50087199,darkgreen,117,4,NA,-0.402978641
25,910,-2.48490665,0.181425098,0.095996109,1.285430836,darkgreen,118,4,NA,-0.402978641
26,911,-2.48490665,0.224245724,0.012540197,1.440805907,darkgreen,119,4,NA,-0.402978641
27,912,-2.48490665,-0.064396868,0.006646224,1.48927189,darkgreen,120,4,NA,-0.402978641
28,913,-2.48490665,0.234249987,0.015181873,1.426212999,darkgreen,121,4,NA,-0.402978641
29,914,-2.48490665,0.204017203,0.002548069,1.562457708,darkgreen,122,4,NA,-0.402978641
30,915,-2.48490665,-0.328504067,0.025448636,1.386780064,darkgreen,123,4,NA,-0.402978641
31,916,-2.48490665,-0.1234632,0.017382731,1.415878794,darkgreen,124,4,NA,-0.402978641
32,917,-2.48490665,-0.065933799,0.0438046,1.345322912,darkgreen,125,4,NA,-0.402978641
33,918,-2.48490665,0.058756682,0.042736732,1.347206927,darkgreen,126,4,NA,-0.402978641
34,919,-2.48490665,0.456017387,0.25531491,1.210758187,darkgreen,127,4,NA,-0.402978641
35,920,-2.48490665,0.86899691,0.214026233,1.224224067,darkgreen,128,4,NA,-0.402978641
36,921,-2.48490665,0.000489956,0.252046091,1.211741854,darkgreen,129,4,NA,-0.402978641
37,922,-2.48490665,3.721381217,3.959674326,1.001484905,darkgreen,130,4,NA,-0.402978641
38,923,-2.48490665,-0.487038381,0.116750689,1.270489045,darkgreen,131,4,NA,-0.402978641
39,924,-2.48490665,0.086759583,0.132480879,1.260840165,darkgreen,132,4,NA,-0.402978641
40,925,-2.48490665,-0.2086484,0.213593601,1.224378532,darkgreen,133,4,NA,-0.402978641
41,941,-2.48490665,0.044735894,0.002303313,1.57016683,darkgreen,149,4,NA,-0.402978641
42,942,0.182321557,-0.140009416,0.001497635,1.603027213,darkgreen,267,10,-0.916290732,1.787877208
43,943,-1.386294361,-0.8529064,0.024915714,1.38839563,darkgreen,335,11,-0.182321557,0.499419269
44,944,-2.63905733,-1.185623666,0.110218346,1.274884366,darkgreen,336,11,-0.182321557,-0.529597697
45,945,-2.63905733,-1.538210403,0.01815867,1.412545065,darkgreen,337,11,-0.182321557,-0.529597697
46,947,-0.693147181,-0.570106855,0.014437134,1.430052663,darkgreen,461,16,-2.302585093,1.068768959
47,952,-2.708050201,-0.196799576,0.055405515,1.327388141,darkgreen,536,19,0,-0.586268302
48,968,0,-1.424568735,0.140161393,1.256538067,darkgreen,659,25,NA,1.63811865
49,969,-1.609437912,-1.380792528,0.204934228,1.227537843,darkgreen,660,25,NA,0.316129607
50,970,-2.48490665,-1.20587293,0.205507063,1.227324761,darkgreen,661,25,NA,-0.402978641
51,971,0,-1.221611298,0.141085853,1.256036222,darkgreen,662,25,NA,1.63811865
52,972,-1.609437912,-0.913586296,0.152865721,1.249914613,darkgreen,663,25,NA,0.316129607
53,973,-2.48490665,-0.496111153,0.183619745,1.235921393,darkgreen,664,25,NA,-0.402978641
54,974,0,-0.801135819,0.536933497,1.154010632,darkgreen,665,25,NA,1.63811865
55,975,-1.609437912,-0.437467839,0.30763984,1.19652642,darkgreen,666,25,NA,0.316129607
56,976,-2.48490665,0.17309275,0.147320476,1.252735253,darkgreen,667,25,NA,-0.402978641
57,977,0,-0.243077766,0.026124824,1.384778202,darkgreen,668,25,NA,1.63811865
