Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
44,0.000119318,0.397738472,0.018787746,darkblue,1.668173503,-0.499940334,93
43,0.000376779,0.459218278,0.075703275,darkblue,1.504416753,-0.499682842,93
74,0.01459854,0.327422401,0.048965651,darkblue,1.555613908,-0.485459384,71
36,0.032971619,0.660805922,0.02181579,darkblue,1.650614846,-0.467084113,129
98,0.034267913,1.1801485,0.174185347,darkblue,1.406500108,-0.465787664,113
56,0.063881436,0.140405577,0.039405093,darkblue,1.581138786,-0.436170607,95
33,0.06475029,0.70297101,0.003376289,darkblue,1.869862133,-0.435301649,129
58,0.071969697,0.115512887,0.04203115,darkblue,1.573557848,-0.428081381,85
27,0.1,0.976915354,0.273019031,darkblue,1.353690881,-0.400047733,133
76,0.129800853,0.44251409,0.022030603,darkblue,1.649463473,-0.370243324,119
14,0.132678864,1.444007773,0.072182109,darkblue,1.510013417,-0.367364969,93
90,0.160539412,0.858786237,0.091475161,darkblue,1.482179418,-0.339501097,65
15,0.188235294,1.416233826,0.226633028,darkblue,1.375571396,-0.31180191,99
97,0.188235294,1.157672334,0.17145848,darkblue,1.408354195,-0.31180191,99
105,0.188235294,1.890199542,0.562494209,darkblue,1.268753731,-0.31180191,99
19,0.191,1.209363653,0.026130912,darkblue,1.629406982,-0.309036874,9
28,0.191,0.902867712,0.032696567,darkblue,1.603068133,-0.309036874,9
110,0.191,4.003864208,0.766449825,darkblue,1.232399084,-0.309036874,110
46,0.210591133,0.381711022,0.066266508,darkblue,1.520060978,-0.289443403,115
57,0.210591133,0.137563219,0.304859145,darkblue,1.340729112,-0.289443403,115
35,0.25,0.684178511,0.054491983,darkblue,1.543048578,-0.250029833,71
93,0.296531738,0.93642564,0.012302404,darkblue,1.717926264,-0.203492542,68
18,0.3,1.286395867,0.18076357,darkblue,1.402144204,-0.200023866,141
22,0.3,1.114989537,0.198365446,darkblue,1.391225523,-0.200023866,141
82,0.310398777,0.530384503,0.014901562,darkblue,1.695403944,-0.189623849,104
88,0.331338272,0.740400065,0.0258647,darkblue,1.630610217,-0.168681855,15
47,0.333333333,0.361500863,0.03515696,darkblue,1.594542858,-0.166686556,13
80,0.333333333,0.516771684,0.011510043,darkblue,1.725749119,-0.166686556,13
85,0.339590083,0.634058264,0.055712507,darkblue,1.540445718,-0.160429059,15
41,0.353846154,0.566395475,0.051184532,darkblue,1.550406288,-0.146171287,25
101,0.392638037,1.522900731,0.030911413,darkblue,1.6096654,-0.107374775,119
31,0.4,0.710853102,0.128164741,darkblue,1.442551014,-0.100011933,80
48,0.4,0.340313471,0.089102201,darkblue,1.48526785,-0.100011933,80
72,0.4,0.288117085,0.016188581,darkblue,1.685669831,-0.100011933,80
77,0.4,0.475669367,0.088549267,darkblue,1.485999312,-0.100011933,80
107,0.402534012,2.24401778,0.029818779,darkblue,1.61389406,-0.097477619,119
34,0.406504065,0.686274301,0.14459833,darkblue,1.428374839,-0.093507092,25
69,0.406994272,0.135185653,0.193314443,darkblue,1.394256316,-0.093016827,136
95,0.417240737,1.064071963,0.050434608,darkblue,1.552140634,-0.082769139,68
25,0.45,1.054649165,0.760604754,darkblue,1.23329863,-0.050005967,150
37,0.45,0.660357358,0.317275548,darkblue,1.336038225,-0.050005967,150
40,0.45,0.578077851,2.578033824,darkblue,1.089864127,-0.050005967,150
49,0.45,0.298594106,0.482457121,darkblue,1.286789413,-0.050005967,150
51,0.45,0.237411743,1.377260927,darkblue,1.163531502,-0.050005967,150
104,0.45,1.704748092,0.527376033,darkblue,1.276328919,-0.050005967,150
109,0.45,3.19047635,5.538902268,darkblue,1,-0.050005967,150
23,0.468680089,1.114989537,0.198365446,darkblue,1.391225523,-0.031323648,56
16,0.477923376,1.387927015,0.071405246,darkblue,1.511284923,-0.022079258,127
103,0.488614183,1.625792293,0.036649796,darkblue,1.589656387,-0.011387176,119
21,0.49,1.141432286,0.629101149,darkblue,1.255603617,-0.010001193,86
52,0.49,0.214517497,0.194753212,darkblue,1.393385009,-0.010001193,86
83,0.49,0.606135804,0.623303745,darkblue,1.256691489,-0.010001193,7
92,0.49,0.916290732,0.36578125,darkblue,1.319321412,-0.010001193,7
2,0.5,3.820381763,1.408669663,darkblue,1.160881876,0,49
8,0.5,1.975038422,0.724888604,darkblue,1.238950127,0,49
13,0.5,1.511303906,0.671261116,darkblue,1.247981527,0,49
17,0.5,1.386457374,0.730159797,darkblue,1.238098755,0,49
39,0.5,0.579271677,0.518981507,darkblue,1.278214353,0,49
62,0.5,0.030391801,0.00111546,darkblue,2,0,27
63,0.5,0.021270807,0.001491087,darkblue,1.965895558,0,27
64,0.5,0.018632988,0.002527724,darkblue,1.903874848,0,27
65,0.5,0.028463944,0.002876547,darkblue,1.888684836,0,27
81,0.5,0.529822124,0.16643183,darkblue,1.411850593,0,49
100,0.501653804,1.287535205,0.009560246,darkblue,1.747558789,0.001654001,119
1,0.51589409,4.144688247,0.512205983,darkblue,1.279758531,0.015895987,92
6,0.51589409,2.197224577,0.771604938,darkblue,1.231611397,0.015895987,92
42,0.51589409,0.464305608,1.007346939,darkblue,1.20028428,0.015895987,92
26,0.566354194,1.001885462,0.062974899,darkblue,1.526047663,0.066362112,50
54,0.566354194,0.158061625,0.252146841,darkblue,1.363036031,0.066362112,50
91,0.572139303,0.863492546,0.231355636,darkblue,1.373147977,0.072147912,17
50,0.599384556,0.257045103,0.011386498,darkblue,1.727017196,0.099396416,75
66,0.628930818,0.048202102,0.057684556,darkblue,1.536358333,0.128946204,87
108,0.628930818,2.266875002,0.241594476,darkblue,1.368059484,0.128946204,87
