Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
193,-1.945910149,-0.052312384,1,darkcyan,1,0.187712979,88
203,-1.945910149,-0.698885861,1,darkcyan,1,0.187712979,88
206,-1.945910149,0.112157284,1,darkcyan,1,0.187712979,88
208,-1.945910149,-0.125359838,1,darkcyan,1,0.187712979,88
209,-1.945910149,0.072949877,1,darkcyan,1,0.187712979,88
214,-1.945910149,0.384898227,1,darkcyan,1,0.187712979,88
111,-1.909542505,0.724168343,1,darkcyan,1,0.198238264,89
195,-1.903598951,-1.299743161,1,darkcyan,1,0.199958408,90
204,-1.903598951,-0.321357695,1,darkcyan,1,0.199958408,90
189,-1.845300236,0.174358164,1,darkcyan,1,0.216830839,91
172,-1.835776355,0.022965967,1,darkcyan,1,0.219587178,92
1,-1.791759469,0.215828732,1,darkcyan,1,0.232326257,93
9,-1.791759469,0.260150264,1,darkcyan,1,0.232326257,93
58,-1.791759469,-0.871455656,1,darkcyan,1,0.232326257,93
115,-1.791759469,-0.666000757,1,darkcyan,1,0.232326257,93
199,-1.791759469,-0.509635863,1,darkcyan,1,0.232326257,93
207,-1.791759469,-0.36583725,1,darkcyan,1,0.232326257,93
68,-1.759580571,0.058404402,1,darkcyan,1,0.241639262,94
110,-1.69744879,-0.439585592,1,darkcyan,1,0.259621034,95
41,-1.609437912,0.374642594,1,darkcyan,1,0.285092565,96
97,-1.609437912,0.277239046,1,darkcyan,1,0.285092565,96
205,-1.532556868,-0.224655973,1,darkcyan,1,0.307342972,97
93,-1.530394705,0.35177049,1,darkcyan,1,0.307968731,98
18,-1.386294361,-0.402126207,1,darkcyan,1,0.349673307,99
63,-1.386294361,-0.467166911,1,darkcyan,1,0.349673307,99
65,-1.386294361,-0.216669243,1,darkcyan,1,0.349673307,99
71,-1.386294361,-0.80330146,1,darkcyan,1,0.349673307,99
122,-1.386294361,-0.899714321,1,darkcyan,1,0.349673307,99
211,-1.386294361,-1.243582602,1,darkcyan,1,0.349673307,99
119,-1.261297871,0.195645668,1,darkcyan,1,0.38584897,100
27,-1.098612289,-0.377831144,1,darkcyan,1,0.432932363,101
42,-1.098612289,0.512845498,1,darkcyan,1,0.432932363,101
88,-1.098612289,-0.710784963,1,darkcyan,1,0.432932363,101
197,-1.098612289,-0.209737804,1,darkcyan,1,0.432932363,101
