,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,study.ID,dist.inv,scale,col,row.ID,pr.st
19,19,215,613,m6_5_23,SA,m,abu,Mean number of individuals captured per plot,bur,nat,NA,1,p,0.4,0.848528137,8,1.4,1.979898987,8,-0.620721319,1.252762968,0.812499999,0,NA,0,23,NA,1.311668975,darkgreen,613,1.55705744
34,34,341,917,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,8.33,5.16,3,0.67,0.82,3,1.658701891,-2.520341023,0.627199756,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.346933442,darkgreen,917,-0.966445652
28,28,335,911,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,7.26,4.02,3,0.67,0.82,3,1.817239707,-2.382857395,0.601496152,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.352634176,darkgreen,911,-0.966445652
38,38,345,921,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,6.41,4.31,3,0.67,0.82,3,1.480193291,-2.258336838,0.649995951,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.34206972,darkgreen,921,-0.966445652
26,26,333,909,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,5.77,3.56,3,0.67,0.82,3,1.579427155,-2.153149647,0.626184489,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.347154148,darkgreen,909,-0.966445652
37,37,344,920,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,19.1,11.1,3,10.2,2.93,3,0.877093089,-0.627300615,0.140084277,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.551152109,darkgreen,920,-0.966445652
33,33,340,916,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,18.7,12.9,3,10.2,2.93,3,0.726961171,-0.606135804,0.186131338,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.512433072,darkgreen,916,-0.966445652
35,35,342,918,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,50.9,21.8,3,27.8,14.8,3,0.991858312,-0.604826903,0.155618388,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.536825319,darkgreen,918,-0.966445652
25,25,332,908,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,17.2,11.7,3,10.2,2.93,3,0.656612266,-0.522521664,0.181743904,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.51568281,darkgreen,908,-0.966445652
31,31,338,914,m6_5_44,SA,m,abu,Mean capture frequency,sec,nat,2,20,p,45.5,11.3,3,27.8,14.8,3,1.075430976,-0.492676305,0.115033575,-2.995732274,-0.693147181,-2.995732274,44,-0.693147181,1.577993095,darkgreen,914,-0.966445652
