,Unit_ID,ID.X,row.ID,Study,continent,taxon,metric,metric.specific,disturbance,matrix,distance.p.d,time,effect.direction,p.mean,p.sd,p.n,d.mean,d.sd,d.n,hedges.g,LRR,var.LRR,time.inv,dist.inv,X,study.ID,dist.inv,scale,col,row.ID,pr.st
110,110,712,1932,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,39.65,19.1,4,2.56,1.54,4,2.380310081,-2.74008369,0.148481697,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.543220868,darkgreen,1932,0.631623772
134,134,736,1956,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,39.65,19.1,4,7.1,9.14,4,1.890426328,-1.719996164,0.472313071,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.385572742,darkgreen,1956,-0.382562015
112,112,714,1934,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,38.1,12.22,4,9.1,10,4,2.258547768,-1.431939869,0.327613627,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.435408366,darkgreen,1934,0.631623772
137,137,739,1959,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,8.17,5.36,4,2.03,1.52,4,1.355266403,-1.392433116,0.247766828,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.473465102,darkgreen,1959,-0.382562015
133,133,735,1955,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,39.65,19.1,4,12.05,6.66,4,1.677940987,-1.191026288,0.134380857,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.556814873,darkgreen,1955,-1.413428863
108,108,710,1930,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,27.82,5.1,4,9.1,7.7,4,2.492576443,-1.117480773,0.187395762,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.511510734,darkgreen,1930,0.631623772
128,128,730,1950,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,27.82,5.1,4,13.97,6.68,4,2.026585585,-0.688843013,0.065562719,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.654586537,darkgreen,1950,-1.413428863
104,104,706,1926,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,1.01,0.52,4,0.51,1.04,4,0.528808973,-0.683294884,1.105868167,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.269671893,darkgreen,1926,0.631623772
120,120,722,1942,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,0.48,0,4,0.26,0.5,4,0.541090406,-0.613104473,0.924556213,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.294067732,darkgreen,1942,-1.413428863
102,102,704,1924,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,8.17,5.36,4,4.78,3.12,4,0.672186263,-0.536028362,0.214114012,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.493352571,darkgreen,1924,-0.603568758
101,101,703,1923,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,39.65,19.1,4,24.7,6.2,4,0.915527011,-0.473287704,0.073764111,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.638529222,darkgreen,1923,-0.603568758
111,111,713,1933,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,8.17,5.36,4,5.64,4.62,4,0.439674761,-0.370584843,0.275354516,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.459082624,darkgreen,1933,0.631623772
129,129,731,1951,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,27.82,5.1,4,19.28,2.28,4,1.879919602,-0.366686897,0.011897874,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.887091154,darkgreen,1951,-0.382562015
118,118,720,1940,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,1.25,1.04,4,0.89,1.52,4,0.24037635,-0.339677368,0.902256858,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.297393848,darkgreen,1940,-0.382562015
139,139,741,1961,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,38.1,12.22,4,27.18,10,4,0.850460056,-0.337732873,0.059558558,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.667671504,darkgreen,1961,-1.413428863
127,127,729,1949,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,27.82,5.1,4,20.2,6.58,4,1.125603561,-0.320072582,0.034928736,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.740373174,darkgreen,1949,-1.249878433
140,140,742,1962,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,38.1,12.22,4,29.94,10.64,4,0.619314474,-0.241018903,0.057290998,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.672959656,darkgreen,1962,-0.382562015
99,99,701,1921,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,27.82,5.1,4,24.31,3.1,4,0.723231472,-0.134867398,0.012466988,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.880725669,darkgreen,1921,-0.603568758
132,132,734,1954,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,39.65,19.1,4,35.79,10.64,4,0.217110891,-0.102422423,0.080107635,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.627290015,darkgreen,1954,-1.249878433
138,138,740,1960,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,38.1,12.22,4,35.18,5.08,4,0.271339977,-0.079736543,0.030930577,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.756934495,darkgreen,1960,-1.249878433
136,136,738,1958,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,8.17,5.36,4,7.69,4.62,4,0.083416555,-0.060548125,0.197837494,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.504123652,darkgreen,1958,-1.413428863
106,106,708,1928,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,7.59,3.56,4,8.46,2.82,4,-0.235574839,0.108517582,0.082776988,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.622824387,darkgreen,1928,0.631623772
103,103,705,1925,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,38.1,12.22,4,43.06,12.94,4,-0.342708945,0.12238021,0.048294423,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.696232281,darkgreen,1925,-0.603568758
135,135,737,1957,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,8.17,5.36,4,10.24,3.54,4,-0.396293159,0.225832711,0.137480934,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.553707732,darkgreen,1957,-1.249878433
124,124,726,1946,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,7.59,3.56,4,9.77,5.06,4,-0.433314848,0.252484875,0.122057414,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.569918805,darkgreen,1946,-0.382562015
125,125,727,1947,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,0.44,1.02,4,0.57,1.52,4,-0.087334584,0.258861634,3.121269513,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.12831352,darkgreen,1947,-1.249878433
96,96,698,1918,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,1.25,1.04,4,1.94,1.8,4,-0.40817271,0.439544422,0.388275471,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.412264798,darkgreen,1918,-0.603568758
98,98,700,1920,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,7.59,3.56,4,12.54,5.44,4,-0.936312059,0.502091944,0.10204738,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.594312218,darkgreen,1920,-0.603568758
126,126,728,1948,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,0.44,1.02,4,0.89,0.76,4,-0.435051242,0.704446736,1.52579195,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.225820272,darkgreen,1948,-0.382562015
122,122,724,1944,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,7.59,3.56,4,15.87,6.08,4,-1.445212163,0.737598943,0.091693063,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.608888036,darkgreen,1944,-1.249878433
116,116,718,1938,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,1.25,1.04,4,2.8,1.52,4,-1.034953729,0.806475866,0.246729469,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.474036692,darkgreen,1938,-1.249878433
114,114,716,1936,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,1.01,0.52,4,2.31,3.08,4,-0.511807692,0.827297194,0.510712457,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.374924001,darkgreen,1936,-1.413428863
115,115,717,1937,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,1.01,0.52,4,2.41,0.5,4,-2.386583035,0.869676417,0.077028847,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.632629214,darkgreen,1937,-0.382562015
117,117,719,1939,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,1.25,1.04,4,3.08,2.3,4,-0.891546492,0.901786046,0.312466103,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.441857574,darkgreen,1939,-1.413428863
97,97,699,1919,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,0.47,0,4,1.29,0.52,4,-1.939222611,1.009664803,0.040622559,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.719799869,darkgreen,1919,-0.603568758
121,121,723,1943,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,0.47,0,4,1.3,0.52,4,-1.962871667,1.017386849,0.04,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.72190389,darkgreen,1943,-1.249878433
130,130,732,1952,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,0.93,0.76,4,3.46,3.84,4,-0.794809306,1.313839282,0.474884482,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.384833052,darkgreen,1952,-1.413428863
131,131,733,1953,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,10,p,0.93,0.76,4,3.68,2.78,4,-1.173421086,1.375483445,0.309626145,-2.302585093,-2.48490665,-2.302585093,122,-2.48490665,1.443101453,darkgreen,1953,-0.382562015
95,95,697,1917,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,1.01,0.52,4,4.78,0.52,4,-6.304347826,1.554490216,0.069226645,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.647178285,darkgreen,1917,-0.603568758
119,119,721,1941,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,0.48,0,4,2.43,3.04,4,-0.788820494,1.621860432,0.391268269,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.411218737,darkgreen,1941,-1.249878433
100,100,702,1922,m6_5_122,AF,m,abu,Mean number of individuals captured,abn,nat,13,13,p,0.93,0.76,4,4.78,3.12,4,-1.474369828,1.637011239,0.273466458,-2.564949357,-2.564949357,-2.564949357,122,-2.564949357,1.460019979,darkgreen,1922,-0.603568758
123,123,725,1945,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,11,34,p,7.59,3.56,4,40.64,11.02,4,-3.509551045,1.677921212,0.073381339,-3.526360525,-2.397895273,-3.526360525,122,-2.397895273,1.639238004,darkgreen,1945,-1.413428863
113,113,715,1935,m6_5_122,AF,m,abu,Mean number of individuals captured,sec,nat,12,28,p,1.01,0.52,4,5.45,2.28,4,-2.334823775,1.685665278,0.110021906,-3.33220451,-2.48490665,-3.33220451,122,-2.48490665,1.584061609,darkgreen,1935,-1.249878433
105,105,707,1927,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,1.25,1.04,4,6.79,5.4,4,-1.238866587,1.69230739,0.331176427,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.43393481,darkgreen,1927,0.631623772
109,109,711,1931,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,0.93,0.76,4,16.41,10,4,-1.898180378,2.870461598,0.259793091,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.467007929,darkgreen,1931,0.631623772
107,107,709,1929,m6_5_122,AF,m,abu,Mean number of individuals captured,agr,nat,9,3,p,0.44,1.02,4,10.64,2.3,4,-4.985420015,3.185601036,1.355173607,-1.098612289,-2.197224577,-1.098612289,122,-2.197224577,1.241975531,darkgreen,1929,0.631623772
142,142,755,1987,m6_5_123,SA,m,abu,Mean abundance,sec,nat,3.2,12,p,0.87,0.79,6,0.07,0,6,1.321952308,-2.51999797,0.137424583,-2.48490665,-1.16315081,-2.48490665,123,-1.16315081,1.553763584,darkgreen,1987,-0.536143501
141,141,751,1979,m6_5_123,SA,m,abu,Mean abundance,sec,nat,2.3,12,p,28.87,9.43,6,22.91,8.22,6,0.621943992,-0.231229497,0.039237593,-2.48490665,-0.832909123,-2.48490665,123,-0.832909123,1.724525614,darkgreen,1979,-0.536143501
146,146,789,2031,m6_5_128,SA,m,abu,Mean encounter rate,sel,nat,17,1.333333333,p,0.42,0.155884573,3,0.05,0.08660254,3,2.347432692,-2.128231706,1.045918359,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.277264987,darkgreen,2031,1.314723836
147,147,790,2032,m6_5_128,SA,m,abu,Mean encounter rate,sel,nat,17,1.333333333,p,1.49,0.519615242,3,0.63,0.346410162,3,1.558013199,-0.86081158,0.141319768,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.549955838,darkgreen,2032,1.314723836
143,143,786,2028,m6_5_128,SA,m,abu,Density estimate,sel,nat,17,1.333333333,p,6.9,17.99254379,3,3.6,14.93720616,3,0.159655586,-0.650587566,8.005238485,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1,darkgreen,2028,1.314723836
148,148,791,2033,m6_5_128,SA,m,abu,Mean encounter rate,sel,nat,17,1.333333333,p,0.84,0.294448637,3,0.67,0.45033321,3,0.357461787,-0.226124179,0.191548382,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.508524787,darkgreen,2033,1.314723836
144,144,787,2029,m6_5_128,SA,m,abu,Density estimate,sel,nat,17,1.333333333,p,4.6,14.93720616,3,5.4,19.35047162,3,-0.037025752,0.16034265,7.795111061,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.00362376,darkgreen,2029,1.314723836
145,145,788,2030,m6_5_128,SA,m,abu,Density estimate,sel,nat,17,1.333333333,p,10.5,32.92974995,3,14.9,26.8190747,3,-0.117215162,0.349985956,4.358439258,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.082828265,darkgreen,2030,1.314723836
149,149,792,2034,m6_5_128,SA,m,abu,Mean encounter rate,sel,nat,17,1.333333333,p,3.85,1.732050808,3,6.25,1.506884203,3,-1.182720372,0.484508315,0.086841643,-0.287682072,-2.833213344,-0.287682072,128,-2.833213344,1.616293818,darkgreen,2034,1.314723836
