,Unit_ID,Entry,Study,Expt,Ygen,Yspec,Smax,Y.treatment,T.mean,T.sd,T.N,C.mean,C.sd,C.N,X,col,scale,Sys1,pr.st
3,3,26,5,12,SST,g aboveground plant biomass m-2,24,Y22,408,110.227,6,725,107.778,6,0.083333333,darkgreen,1.017277958,T,-2.865359792
6,6,29,5,13,SST,g aboveground plant biomass m-2,24,Y20,551,142.07,6,961,218.005,6,0.166666667,darkgreen,1.013847133,T,-2.476757497
2,2,26,5,12,SST,g aboveground plant biomass m-2,24,Y20,418,80.833,6,725,107.778,6,0.166666667,darkgreen,1.027869601,T,-2.476757497
7,7,29,5,13,SST,g aboveground plant biomass m-2,24,Y22,573,225.353,6,961,218.005,6,0.083333333,darkgreen,1.007740288,T,-2.865359792
5,5,29,5,13,SST,g aboveground plant biomass m-2,24,Y19,595,102.879,6,961,218.005,6,0.208333333,darkgreen,1.020265762,T,-2.282456354
1,1,26,5,12,SST,g aboveground plant biomass m-2,24,Y19,583,129.823,6,725,107.778,6,0.208333333,darkgreen,1.023057599,T,-2.282456354
8,8,29,5,13,SST,g aboveground plant biomass m-2,24,Y23,782,199.637,12,961,218.005,6,0.041666667,darkgreen,1.019603464,T,-3.059660935
4,4,26,5,12,SST,g aboveground plant biomass m-2,24,Y23,621,152.046,12,725,107.778,6,0.041666667,darkgreen,1.031902963,T,-3.059660935
17,17,48,8,21,SST,g wet algal biomass L-1,4,Y1,1174.4,458.741,40,1578.222,303.579,10,0.75,blue,1.036911834,A,0.243458546
10,10,45,8,18,SST,g wet algal biomass L-1,9,Y1,2.523,0.598,90,3.127,0.614,10,0.888888889,blue,1.062207746,A,0.891129034
11,11,45,8,18,SST,g wet algal biomass L-1,9,Y3,2.682,0.304,10,3.127,0.614,10,0.666666667,blue,1.054158574,A,-0.145143744
9,9,44,8,17,SST,g wet algal biomass L-1,7,Y1,1.37,0.237,70,1.56,0.402,10,0.857142857,blue,1.078877184,A,0.743090064
13,13,46,8,19,SST,g wet algal biomass L-1,6,Y1,1.787,0.603,90,1.976,0.342,10,0.833333333,blue,1.065426996,A,0.632060837
16,16,47,8,20,SST,g wet algal biomass L-1,6,Y3,1274,401.398,10,1371.067,357.127,10,0.5,blue,1.016363183,A,-0.92234833
15,15,47,8,20,SST,g wet algal biomass L-1,6,Y1,1339.333,433.774,60,1371.067,357.127,10,0.833333333,blue,1.03245595,A,0.632060837
12,12,45,8,18,SST,g wet algal biomass L-1,9,Y6,3.13,0.614,10,3.127,0.614,10,0.333333333,blue,1.035995662,A,-1.699552916
14,14,46,8,19,SST,g wet algal biomass L-1,6,Y3,1.979,0.615,10,1.976,0.342,10,0.5,blue,1.021748735,A,-0.92234833
18,18,51,10,23,SST,g aboveground plant biomass m-2,6,Y1,298.06,146.859,40,498.236,249.319,15,0.833333333,darkgreen,1.011899749,T,0.632060837
19,19,51,10,23,SST,g aboveground plant biomass m-2,6,Y4,442.681,310.795,15,498.236,249.319,15,0.5,darkgreen,1.005235504,T,-0.92234833
23,23,83,18,33,SST,number nematodes 100g-1 soil,16,Y8,1103.75,591.94,6,1988.58,601.03,6,0.5,darkgreen,1.004015695,T,-0.92234833
20,20,83,18,33,SST,number nematodes 100g-1 soil,16,Y1,1168.57,634.42,48,1988.58,601.03,6,0.9375,darkgreen,1.012705955,T,1.117813703
21,21,83,18,33,SST,number nematodes 100g-1 soil,16,Y2,1200.63,582.8,24,1988.58,601.03,6,0.875,darkgreen,1.010777589,T,0.826361984
22,22,83,18,33,SST,number nematodes 100g-1 soil,16,Y4,1243.33,601.33,24,1988.58,601.03,6,0.75,darkgreen,1.010809604,T,0.243458546
28,28,86,19,36,SST,g aboveground plant biomass m-2,6,Y1,535.385,20.769,10,800.385,20.769,5,0.833333333,darkgreen,1.983542279,T,0.632060837
26,26,85,19,35,SST,g aboveground plant biomass m-2,6,Y1,459.45,33.8,10,628.5,27,5,0.833333333,darkgreen,1.307805081,T,0.632060837
27,27,85,19,35,SST,g aboveground plant biomass m-2,6,Y3,527,40.5,5,628.5,27,5,0.5,darkgreen,1.180561195,T,-0.92234833
24,24,84,19,34,SST,g aboveground plant biomass m-2,6,Y1,256.75,27.05,10,304.05,27.05,5,0.833333333,darkgreen,1.103765155,T,0.632060837
25,25,84,19,34,SST,g aboveground plant biomass m-2,6,Y3,283.8,33.75,5,304.05,27.05,5,0.5,darkgreen,1.063176782,T,-0.92234833
29,29,86,19,36,SST,g aboveground plant biomass m-2,6,Y3,769.231,20.769,5,800.385,20.769,5,0.5,darkgreen,2,T,-0.92234833
30,30,107,24,42,SST,g aboveground plant biomass m-2,16,Y1,293.568,130.89,80,401.2,78.108,10,0.9375,darkgreen,1.044286856,T,1.117813703
