Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study
109,2.890371758,-0.205443974,1,darkgreen,1,0.032687024,Marino and Landis 1996
110,0.184003643,-1.697143493,1,darkgreen,1,-0.267143151,Marino and Landis 1996
111,2.282382386,2.294443935,1,darkgreen,1,-0.034670243,McEuen and Curran 2006
112,2.079441542,-0.354373447,1,darkgreen,1,-0.057153433,McGeoch and Gaston 2000
113,1.098612289,0.276972613,1,darkgreen,1,-0.16581648,Meiners and Martinkovic 2002
114,1.609437912,0.926532226,1,darkgreen,1,-0.109223686,Meiners et al. 2000
115,1.609437912,-0.493433881,1,darkgreen,1,-0.109223686,Meiners et al. 2000
116,1.609437912,0.452611887,1,darkgreen,1,-0.109223686,Meiners et al. 2000
117,1.609437912,1.053660901,1,darkgreen,1,-0.109223686,Meiners et al. 2000
118,0.869603618,0.980829253,1,darkgreen,1,-0.191187645,Menalled et al. 1999
119,0.858021824,-0.141078598,1,darkgreen,1,-0.192470756,Menalled et al. 1999
120,1.293921041,-2.086175574,1,darkgreen,1,-0.144178826,Menalled et al. 1999
121,0.184003643,-0.190043603,1,darkgreen,1,-0.267143151,Menalled et al. 2000
122,4.16048615,0.472435734,1,darkgreen,1,0.173399079,Mommany and Aide 2009
123,5.790793852,0.287682072,1,darkgreen,1,0.35401584,Ogrzewalska et al. 2011
124,2.621665587,1.348765007,1,darkgreen,1,0.002917896,Olson and Andow 2008
125,2.302585093,3.241941098,1,darkgreen,1,-0.032432048,Olson and Andow 2008
126,2.621665587,-0.298571472,1,darkgreen,1,0.002917896,Olson and Andow 2008
127,2.302585093,-0.210156356,1,darkgreen,1,-0.032432048,Olson and Andow 2008
130,0.693147181,-0.488785104,1,darkgreen,1,-0.210736709,Ostman et al. 2001
131,0.863646998,1.568615918,1,darkgreen,1,-0.19184756,Ostman et al. 2001
132,1.103168105,-0.391478866,1,darkgreen,1,-0.165311756,Peralta et al. 2011
133,1.386294361,-0.678590883,1,darkgreen,1,-0.133945071,Provencher and Riechert 1994
134,1.386294361,-0.15415068,1,darkgreen,1,-0.133945071,Provencher and Riechert 1994
135,0.965080896,-0.189756535,1,darkgreen,1,-0.180610012,Rabasa et al. 2009
136,1.7587417,-0.810930216,1,darkgreen,1,-0.09268278,Rand et al. 2012
137,1.7587417,-0.540140011,1,darkgreen,1,-0.09268278,Rand et al. 2012
138,1.791759469,0.958007633,1,darkgreen,1,-0.089024843,Reynoso and Williams-Linera 2007
141,0.916290732,-1.094728789,1,darkgreen,1,-0.186015323,Roschewitz et al. 2005
143,3.517029197,0.664437075,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
144,3.517029197,0.65981076,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
145,3.517029197,-0.428812472,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
146,3.517029197,-0.561570823,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
147,3.517029197,-1.751754135,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
148,3.517029197,-1.584120104,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
149,3.517029197,-1.909542505,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
150,3.517029197,-0.348306694,1,darkgreen,1,0.102112468,Ruiz-Guerra et al. 2010
151,6.80767182,0.751041159,1,darkgreen,1,0.466672613,Ruiz-Guerra et al. 2012
152,3.516047223,-0.57864822,1,darkgreen,1,0.102003678,Savilaakso et al. 2009
155,2.568989767,0.852211875,1,darkgreen,1,-0.002917896,Simonetti et al. 2007
156,5.144166687,-1.458615023,1,darkgreen,1,0.282378011,Simonetti et al. 2007
157,5.144166687,-1.831201201,1,darkgreen,1,0.282378011,Simonetti et al. 2007
158,5.144166687,-0.926762032,1,darkgreen,1,0.282378011,Simonetti et al. 2007
159,1.648658626,-0.472993168,1,darkgreen,1,-0.104878544,Steffan-Dewenter et al. 2001
163,2.197224577,-0.819324008,1,darkgreen,1,-0.044104614,Stoll et al. 2006
167,0.693147181,0.555849305,1,darkgreen,1,-0.210736709,Sullivan et al. 2011
168,2.397895273,0.760767368,1,darkgreen,1,-0.021872927,Thies and Tscharntke 1999
171,3.506557897,-0.391394524,1,darkgreen,1,0.100952385,Thies and Tscharntke 1999
172,1.988927534,-1.386294361,1,darkgreen,1,-0.067181201,Thies and Tscharntke 1999
173,1.988927534,-0.696956709,1,darkgreen,1,-0.067181201,Thies and Tscharntke 1999
174,1.704748092,-1.239447193,1,darkgreen,1,-0.098664565,Thies et al. 2005
176,2.772588722,-1.125280536,1,darkgreen,1,0.019638204,Tscharntke et al. 1998
178,2.397895273,0.359918774,1,darkgreen,1,-0.021872927,Tscharntke et al. 2002
179,5.144166687,-2.662587827,1,darkgreen,1,0.282378011,Valdivia et al. 2011
180,1.609437912,-2.662587827,1,darkgreen,1,-0.109223686,Valdivia et al. 2011
181,6.185620562,-0.455712299,1,darkgreen,1,0.397757473,Valladares et al. 2006
182,6.185620562,-0.116009761,1,darkgreen,1,0.397757473,Valladares et al. 2006
183,1.386294361,-0.475877399,1,darkgreen,1,-0.133945071,Valladares et al. 2006
184,1.386294361,0.124761537,1,darkgreen,1,-0.133945071,Valladares et al. 2006
185,2.74598804,-1.395399128,1,darkgreen,1,0.016691197,Vandergast and Roderick 2003
186,0.916290732,0.059659836,1,darkgreen,1,-0.186015323,Vasconcelos and Laurance 2005
187,5.349610661,-0.410284395,1,darkgreen,1,0.305138515,Vasquez et al. 2007
