"stressor_RR","es","power","effect","es_cat","number"
"BD loss 1",0.302748888777064,1.431,"cMAOM","a.Intercept_es",1
"BD loss 2",0.11410505218043,6.823,"cMAOM","a.Intercept_es",2
"Fert 1",0.540111986275829,1.082,"cMAOM","a.Intercept_es",3
"Fert 2",0.287297012331121,1.5445,"cMAOM","a.Intercept_es",4
"Warm 1",0.071449836770106,7.833,"cMAOM","a.Intercept_es",5
"Fert 3",0.17475736771057,2.459,"cMAOM","a.Intercept_es",6
"Fert 4",0.635100665062346,1.004,"cMAOM","a.Intercept_es",7
"LUC 1",0.315150694852809,1.6915,"cMAOM","a.Intercept_es",8
"LUC 2",0.489331660003547,1.8295,"cMAOM","a.Intercept_es",9
"LUC 3",0.460321060631471,1.7895,"cMAOM","a.Intercept_es",10
"LUC 4",0.0311665803510137,21.5405,"cMAOM","a.Intercept_es",11
"LUC 5",0.0536621023667231,18.536,"cMAOM","a.Intercept_es",12
"Fert 5",0.0888157499063749,2.4945,"cMAOM","a.Intercept_es",13
"Fert 6",0.108801240847821,8.148,"cMAOM","a.Intercept_es",14
"Precip ",0.0120178709391637,12.5375,"cMAOM","a.Intercept_es",15
"LUC 6",0.0436883719343155,14.19,"cMAOM","a.Intercept_es",16
"Warm 2",0.797139908249877,2.175,"cMAOM","a.Intercept_es",17
"Inv 1",1.33585960425313,1,"cMAOM","a.Intercept_es",18
"Fire 1",3.72716432189855,1.156,"cMAOM","a.Intercept_es",19
"Fire 2",0.00294333021406599,647.205,"cMAOM","a.Intercept_es",20
"Fire 3",0.0754773587952458,25.1615,"cMAOM","a.Intercept_es",21
"Warm 3",0.0799947431073161,3.01,"cMAOM","a.Intercept_es",22
"Warm 4",0.0390968339616512,6.287,"cMAOM","a.Intercept_es",23
"Warm 5",0.0462511049617312,8.65,"cMAOM","a.Intercept_es",24
"BD loss 3",0.387441363103359,2.181,"cMAOM","a.Intercept_es",25
"BD loss 4",0.22545438811447,2.9285,"cMAOM","a.Intercept_es",26
"BD loss 5",0.385937174610948,2.8205,"cMAOM","a.Intercept_es",27
"Acid",0.109396336507312,2.951,"cMAOM","a.Intercept_es",28
"Inv 2",0.795174063113597,1.272,"cMAOM","a.Intercept_es",29
"Inv 3",0.318911998191515,1.5215,"cMAOM","a.Intercept_es",30
"BD loss 1",0.303339522756604,1.4295,"MAOM","a.Intercept_es",31
"BD loss 2",0.280758088674229,2.8325,"MAOM","a.Intercept_es",32
"Fert 1",0.624493879205995,1.033,"MAOM","a.Intercept_es",33
"Fert 2",0.563202040845238,1.0455,"MAOM","a.Intercept_es",34
"Warm 1",0.071449836770106,7.8475,"MAOM","a.Intercept_es",35
"Fert 3",0.17475736771057,2.464,"MAOM","a.Intercept_es",36
"Fert 4",0.614235134422731,1.003,"MAOM","a.Intercept_es",37
"LUC 1",0.31515069467717,1.682,"MAOM","a.Intercept_es",38
"LUC 2",0.489331659916264,1.8355,"MAOM","a.Intercept_es",39
"LUC 3",0.485811278606089,1.718,"MAOM","a.Intercept_es",40
"LUC 4",0.212459319874228,3.297,"MAOM","a.Intercept_es",41
"LUC 5",0.053662102402195,18.517,"MAOM","a.Intercept_es",42
"Fert 5",0.088828361886831,2.493,"MAOM","a.Intercept_es",43
"Fert 6",0.1503532506576,5.96,"MAOM","a.Intercept_es",44
"Precip ",0.0206043273809476,7.394,"MAOM","a.Intercept_es",45
"LUC 6",0.287216649680991,2.313,"MAOM","a.Intercept_es",46
"Warm 2",0.797139908249877,2.178,"MAOM","a.Intercept_es",47
"Inv 1",0.205148067493953,1.2415,"MAOM","a.Intercept_es",48
"Fire 1",0.185795072294041,17.689,"MAOM","a.Intercept_es",49
"Fire 2",0.0916286821796462,20.748,"MAOM","a.Intercept_es",50
"Fire 3",0.0945372096177121,20.139,"MAOM","a.Intercept_es",51
"Warm 3",0.111125168174041,2.216,"MAOM","a.Intercept_es",52
"Warm 4",0.0845578388473058,2.984,"MAOM","a.Intercept_es",53
"Warm 5",0.0462511049617312,8.617,"MAOM","a.Intercept_es",54
"BD loss 3",0.500550348531446,1.751,"MAOM","a.Intercept_es",55
"BD loss 4",0.496212049525797,1.467,"MAOM","a.Intercept_es",56
"BD loss 5",0.419148216029129,2.612,"MAOM","a.Intercept_es",57
"Acid",0.213573620444919,1.6285,"MAOM","a.Intercept_es",58
"Inv 2",0.90427395944192,1.1735,"MAOM","a.Intercept_es",59
"Inv 3",0.318911998191515,1.518,"MAOM","a.Intercept_es",60
"BD loss 1",0.302748888777064,1.577,"cESSP","b.BLUP_es",61
"BD loss 2",0.11410505218043,11.005,"cESSP","b.BLUP_es",62
"Fert 1",0.540111986275829,1.191,"cESSP","b.BLUP_es",63
"Fert 2",0.287297012331121,1.432,"cESSP","b.BLUP_es",64
"Warm 1",0.071449836770106,3.872,"cESSP","b.BLUP_es",65
"Fert 3",0.17475736771057,2.444,"cESSP","b.BLUP_es",66
