"stressor_VR","es","power","effect","es_cat","number"
"BD loss 1",0.125790528187742,5.441,"MAOM","a.Intercept_es",1
"BD loss 2",0.123048461021953,5.524,"MAOM","a.Intercept_es",2
"Fert 1",0.496645995654565,3.446,"MAOM","a.Intercept_es",3
"Fert 2",0.397061280811982,3.561,"MAOM","a.Intercept_es",4
"Fert 3",0.617744950269263,2.795,"MAOM","a.Intercept_es",5
"LUC 1",0.0862967678316169,16.1705,"MAOM","a.Intercept_es",6
"LUC 2",0.22633964539448,4.697,"MAOM","a.Intercept_es",7
"LUC 3",0.176036556552669,7.7935,"MAOM","a.Intercept_es",8
"LUC 4",0.0638629585278023,18.387,"MAOM","a.Intercept_es",9
"LUC 5",0.153542156716232,8.949,"MAOM","a.Intercept_es",10
"LUC 6",0.418609799715283,1.557,"MAOM","a.Intercept_es",11
"Inv 1",0.938684065281598,1.153,"MAOM","a.Intercept_es",12
"BD loss 1",0.125790528187742,3.0015,"ESSP","b.BLUP_es",13
"BD loss 2",0.123048461021953,5.197,"ESSP","b.BLUP_es",14
"Fert 1",0.496645995654565,2.449,"ESSP","b.BLUP_es",15
"Fert 2",0.397061280811982,2.657,"ESSP","b.BLUP_es",16
"Fert 3",0.617744950269263,2.702,"ESSP","b.BLUP_es",17
"LUC 1",0.0862967678316169,4.4235,"ESSP","b.BLUP_es",18
"LUC 2",0.22633964539448,1.738,"ESSP","b.BLUP_es",19
"LUC 3",0.176036556552669,4.6295,"ESSP","b.BLUP_es",20
"LUC 4",0.0638629585278023,3.173,"ESSP","b.BLUP_es",21
"LUC 5",0.153542156716232,5.938,"ESSP","b.BLUP_es",22
"LUC 6",0.418609799715283,1.011,"ESSP","b.BLUP_es",23
"Inv 1",0.938684065281598,1.0345,"ESSP","b.BLUP_es",24
"BD loss 1",0.125790528187742,1.479,"MAOM.MA","c.MA.power",25
"BD loss 2",0.123048461021953,1.982,"MAOM.MA","c.MA.power",26
"Fert 1",0.496645995654565,1,"MAOM.MA","c.MA.power",27
"Fert 2",0.397061280811982,1.001,"MAOM.MA","c.MA.power",28
"Fert 3",0.617744950269263,1,"MAOM.MA","c.MA.power",29
"LUC 1",0.0862967678316169,4.316,"MAOM.MA","c.MA.power",30
"LUC 2",0.22633964539448,3.276,"MAOM.MA","c.MA.power",31
"LUC 3",0.176036556552669,1.57,"MAOM.MA","c.MA.power",32
"LUC 4",0.0638629585278023,7.06,"MAOM.MA","c.MA.power",33
"LUC 5",0.153542156716232,1.908,"MAOM.MA","c.MA.power",34
"LUC 6",0.418609799715283,1.425,"MAOM.MA","c.MA.power",35
"Inv 1",0.938684065281598,1.019,"MAOM.MA","c.MA.power",36
