"stressor_CVR","es","power","effect","es_cat","number"
"BD loss 1",0.457089038940116,0.00203879584568047,"MAOM","a.Intercept_es",1
"BD loss 2",0.233205195571718,0.0870826361909078,"MAOM","a.Intercept_es",2
"Fert 1",0.147739006780821,0.274280618374381,"MAOM","a.Intercept_es",3
"Fert 2",0.159293047836157,0.258584884595687,"MAOM","a.Intercept_es",4
"Fert 3",0.0333613096364628,0.445186769301188,"MAOM","a.Intercept_es",5
"LUC 1",0.19286117893048,0.195974515005982,"MAOM","a.Intercept_es",6
"LUC 2",0.405891748038828,0.0654535581821683,"MAOM","a.Intercept_es",7
"LUC 3",0.223454973871175,0.201419500587132,"MAOM","a.Intercept_es",8
"LUC 4",0.221423238165885,0.175261899569297,"MAOM","a.Intercept_es",9
"LUC 5",0.14616006293775,0.322145617831435,"MAOM","a.Intercept_es",10
"LUC 6",0.0921939399721127,0.265927602748655,"MAOM","a.Intercept_es",11
"Inv 1",0.016757919382181,0.444886516035807,"MAOM","a.Intercept_es",12
"BD loss 1",0.457089038940116,0.00449705504189573,"ESSP","b.BLUP_es",13
"BD loss 2",0.233205195571718,0.0632924758795172,"ESSP","b.BLUP_es",14
"Fert 1",0.147739006780821,0.0823283827477397,"ESSP","b.BLUP_es",15
"Fert 2",0.159293047836157,0.0762788313634069,"ESSP","b.BLUP_es",16
"Fert 3",0.0333613096364628,0.445432543093869,"ESSP","b.BLUP_es",17
"LUC 1",0.19286117893048,0.24195290952178,"ESSP","b.BLUP_es",18
"LUC 2",0.405891748038828,0.0553743184785116,"ESSP","b.BLUP_es",19
"LUC 3",0.223454973871175,0.205251459401738,"ESSP","b.BLUP_es",20
"LUC 4",0.221423238165885,0.141632903258088,"ESSP","b.BLUP_es",21
"LUC 5",0.14616006293775,0.362927411810448,"ESSP","b.BLUP_es",22
"LUC 6",0.0921939399721127,0.0556405216757206,"ESSP","b.BLUP_es",23
"Inv 1",0.016757919382181,3.22367460348834e-06,"ESSP","b.BLUP_es",24
"BD loss 1",0.457089038940116,3.47529675919553e-19,"MAOM.MA","c.MA.power",25
"BD loss 2",0.233205195571718,4.77103836756037e-06,"MAOM.MA","c.MA.power",26
"Fert 1",0.147739006780821,4.61528886374778e-05,"MAOM.MA","c.MA.power",27
"Fert 2",0.159293047836157,8.84139291448172e-06,"MAOM.MA","c.MA.power",28
"Fert 3",0.0333613096364628,0.127765693466506,"MAOM.MA","c.MA.power",29
"LUC 1",0.19286117893048,1.4360282316735e-06,"MAOM.MA","c.MA.power",30
"LUC 2",0.405891748038828,1.59946082528891e-08,"MAOM.MA","c.MA.power",31
"LUC 3",0.223454973871175,4.69889696041659e-05,"MAOM.MA","c.MA.power",32
"LUC 4",0.221423238165885,1.59590911846483e-05,"MAOM.MA","c.MA.power",33
"LUC 5",0.14616006293775,0.00301642502308868,"MAOM.MA","c.MA.power",34
"LUC 6",0.0921939399721127,0.00718646657855546,"MAOM.MA","c.MA.power",35
"Inv 1",0.016757919382181,0.429785856587246,"MAOM.MA","c.MA.power",36
