"stressor_VR","es","power","effect","es_cat","number"
"BD loss 1",0.125790528187742,0.072419603266615,"MAOM","a.Intercept_es",1
"BD loss 2",0.123048461021953,0.0716296852476785,"MAOM","a.Intercept_es",2
"Fert 1",0.496645995654565,0.108148256361587,"MAOM","a.Intercept_es",3
"Fert 2",0.397061280811982,0.105697192201211,"MAOM","a.Intercept_es",4
"Fert 3",0.617744950269263,0.140965580723884,"MAOM","a.Intercept_es",5
"LUC 1",0.0862967678316169,0.0524205961595552,"MAOM","a.Intercept_es",6
"LUC 2",0.22633964539448,0.0803739883499216,"MAOM","a.Intercept_es",7
"LUC 3",0.176036556552669,0.060716574776153,"MAOM","a.Intercept_es",8
"LUC 4",0.0638629585278023,0.0518708880011279,"MAOM","a.Intercept_es",9
"LUC 5",0.153542156716232,0.0581408427174378,"MAOM","a.Intercept_es",10
"LUC 6",0.418609799715283,0.407609695394007,"MAOM","a.Intercept_es",11
"Inv 1",0.938684065281598,0.756485434657537,"MAOM","a.Intercept_es",12
"BD loss 1",0.125790528187742,0.128434612051689,"ESSP","b.BLUP_es",13
"BD loss 2",0.123048461021953,0.0744968495371908,"ESSP","b.BLUP_es",14
"Fert 1",0.496645995654565,0.173954575536809,"ESSP","b.BLUP_es",15
"Fert 2",0.397061280811982,0.15372202936486,"ESSP","b.BLUP_es",16
"Fert 3",0.617744950269263,0.150173332626258,"ESSP","b.BLUP_es",17
"LUC 1",0.0862967678316169,0.084467242524418,"ESSP","b.BLUP_es",18
"LUC 2",0.22633964539448,0.323315494884031,"ESSP","b.BLUP_es",19
"LUC 3",0.176036556552669,0.0825518582534889,"ESSP","b.BLUP_es",20
"LUC 4",0.0638629585278023,0.120051997379512,"ESSP","b.BLUP_es",21
"LUC 5",0.153542156716232,0.0683127564723853,"ESSP","b.BLUP_es",22
"LUC 6",0.418609799715283,0.978910905482735,"ESSP","b.BLUP_es",23
"Inv 1",0.938684065281598,0.943918922094039,"ESSP","b.BLUP_es",24
"BD loss 1",0.125790528187742,0.454968914910938,"MAOM.MA","c.MA.power",25
"BD loss 2",0.123048461021953,0.253964915009995,"MAOM.MA","c.MA.power",26
"Fert 1",0.496645995654565,0.999929155575037,"MAOM.MA","c.MA.power",27
"Fert 2",0.397061280811982,0.998619132508585,"MAOM.MA","c.MA.power",28
"Fert 3",0.617744950269263,0.999966787507039,"MAOM.MA","c.MA.power",29
"LUC 1",0.0862967678316169,0.0862464711696485,"MAOM.MA","c.MA.power",30
"LUC 2",0.22633964539448,0.116346002553325,"MAOM.MA","c.MA.power",31
"LUC 3",0.176036556552669,0.396651182953061,"MAOM.MA","c.MA.power",32
"LUC 4",0.0638629585278023,0.0631023427631825,"MAOM.MA","c.MA.power",33
"LUC 5",0.153542156716232,0.271242928685711,"MAOM.MA","c.MA.power",34
"LUC 6",0.418609799715283,0.483377900171425,"MAOM.MA","c.MA.power",35
"Inv 1",0.938684065281598,0.967470822539697,"MAOM.MA","c.MA.power",36
