"stressor_CVR","es","power","effect","es_cat","number"
"BD loss 1",0.457089038940116,0.259784993140857,"MAOM","a.Intercept_es",1
"BD loss 2",0.233205195571718,0.0793353607638193,"MAOM","a.Intercept_es",2
"Fert 1",0.147739006780821,0.054973817125727,"MAOM","a.Intercept_es",3
"Fert 2",0.159293047836157,0.055831475297443,"MAOM","a.Intercept_es",4
"Fert 3",0.0333613096364628,0.0502539616593502,"MAOM","a.Intercept_es",5
"LUC 1",0.19286117893048,0.0604982591344813,"MAOM","a.Intercept_es",6
"LUC 2",0.405891748038828,0.0876806217997685,"MAOM","a.Intercept_es",7
"LUC 3",0.223454973871175,0.0599935757038117,"MAOM","a.Intercept_es",8
"LUC 4",0.221423238165885,0.0626510640799762,"MAOM","a.Intercept_es",9
"LUC 5",0.14616006293775,0.0529043625974427,"MAOM","a.Intercept_es",10
"LUC 6",0.0921939399721127,0.0554176704000344,"MAOM","a.Intercept_es",11
"Inv 1",0.016757919382181,0.0502567746377529,"MAOM","a.Intercept_es",12
"BD loss 1",0.457089038940116,0.209394144576985,"ESSP","b.BLUP_es",13
"BD loss 2",0.233205195571718,0.0887199035417298,"ESSP","b.BLUP_es",14
"Fert 1",0.147739006780821,0.0809145846228102,"ESSP","b.BLUP_es",15
"Fert 2",0.159293047836157,0.0830993442796692,"ESSP","b.BLUP_es",16
"Fert 3",0.0333613096364628,0.0502516812990927,"ESSP","b.BLUP_es",17
"LUC 1",0.19286117893048,0.0568581126428643,"ESSP","b.BLUP_es",18
"LUC 2",0.405891748038828,0.092978168531634,"ESSP","b.BLUP_es",19
"LUC 3",0.223454973871175,0.0596511262495486,"ESSP","b.BLUP_es",20
"LUC 4",0.221423238165885,0.0671663758011302,"ESSP","b.BLUP_es",21
"LUC 5",0.14616006293775,0.0516604594057495,"ESSP","b.BLUP_es",22
"LUC 6",0.0921939399721127,0.0928220136597735,"ESSP","b.BLUP_es",23
"Inv 1",0.016757919382181,0.743394493343537,"ESSP","b.BLUP_es",24
"BD loss 1",0.457089038940116,0.999999639749191,"MAOM.MA","c.MA.power",25
"BD loss 2",0.233205195571718,0.718439299049527,"MAOM.MA","c.MA.power",26
"Fert 1",0.147739006780821,0.552214615220008,"MAOM.MA","c.MA.power",27
"Fert 2",0.159293047836157,0.676637402326946,"MAOM.MA","c.MA.power",28
"Fert 3",0.0333613096364628,0.0695203066525864,"MAOM.MA","c.MA.power",29
"LUC 1",0.19286117893048,0.790407682201119,"MAOM.MA","c.MA.power",30
"LUC 2",0.405891748038828,0.947355574766394,"MAOM.MA","c.MA.power",31
"LUC 3",0.223454973871175,0.550791578166986,"MAOM.MA","c.MA.power",32
"LUC 4",0.221423238165885,0.633967452969852,"MAOM.MA","c.MA.power",33
"LUC 5",0.14616006293775,0.234081077097203,"MAOM.MA","c.MA.power",34
"LUC 6",0.0921939399721127,0.182442774668237,"MAOM.MA","c.MA.power",35
"Inv 1",0.016757919382181,0.0504189341412531,"MAOM.MA","c.MA.power",36
