"stressor_SMDH","es","power","effect","es_cat","number"
"Fert 2",1.66839141633865,0.257085447420839,"ESSP","b.BLUP_es",40
"Fert 3",2.43512165920387,0.367876016565456,"ESSP","b.BLUP_es",41
"LUC 1",0.972891591104667,0.120509738455933,"ESSP","b.BLUP_es",42
"LUC 2",0.522712434002991,0.276446108197121,"ESSP","b.BLUP_es",43
"LUC 3",0.671937043422219,0.152962480651876,"ESSP","b.BLUP_es",44
"LUC 4",0.714836397128482,0.217197260206008,"ESSP","b.BLUP_es",45
"LUC 5",0.0520250566358407,0.0587350302474723,"ESSP","b.BLUP_es",46
"LUC 6",0.102851456318519,0.278766445417808,"ESSP","b.BLUP_es",47
"Inv 1",5.87455416937041,0.999998337192712,"ESSP","b.BLUP_es",48
"BD loss 1",0.756007368649395,0.999999997075124,"cMAOM.MA","c.MA.power",49
"BD loss 2",0.423749822777383,0.870240024656722,"cMAOM.MA","c.MA.power",50
"Fert 1",1.0264693229314,0.999978083972579,"cMAOM.MA","c.MA.power",51
"Fert 2",1.12229591265631,0.999999999993925,"cMAOM.MA","c.MA.power",52
"Fert 3",2.43512165920387,0.999997064701906,"cMAOM.MA","c.MA.power",53
"LUC 1",0.972891591104667,0.962778837099658,"cMAOM.MA","c.MA.power",54
"LUC 2",0.522712434002991,0.295490432119577,"cMAOM.MA","c.MA.power",55
"LUC 3",0.671937043422219,0.820787411351422,"cMAOM.MA","c.MA.power",56
"LUC 4",0.714836397128482,0.616929812485598,"cMAOM.MA","c.MA.power",57
"LUC 5",0.0520250566358407,0.0651714961383759,"cMAOM.MA","c.MA.power",58
"LUC 6",0.0877137969082465,0.0783905948975265,"cMAOM.MA","c.MA.power",59
"Inv 1",5.0538918928308,0.561051140611437,"cMAOM.MA","c.MA.power",60
"BD loss 1",0.771846076034586,0.999999998911464,"MAOM.MA","c.MA.power",61
"BD loss 2",0.423749822777383,0.870240024656722,"MAOM.MA","c.MA.power",62
"Fert 1",1.86405547965554,1,"MAOM.MA","c.MA.power",63
"Fert 2",1.66839141633865,1,"MAOM.MA","c.MA.power",64
"Fert 3",2.43512165920387,0.999997064701906,"MAOM.MA","c.MA.power",65
"LUC 1",0.972891591104667,0.962778837099658,"MAOM.MA","c.MA.power",66
"LUC 2",0.522712434002991,0.295490432119577,"MAOM.MA","c.MA.power",67
"LUC 3",0.671937043422219,0.820787411351422,"MAOM.MA","c.MA.power",68
"LUC 4",0.714836397128482,0.616929812485598,"MAOM.MA","c.MA.power",69
"LUC 5",0.0520250566358407,0.0651714961383759,"MAOM.MA","c.MA.power",70
"LUC 6",0.102851456318519,0.089235008032523,"MAOM.MA","c.MA.power",71
"Inv 1",5.87455416937041,0.690331993739531,"MAOM.MA","c.MA.power",72
