"stressor_SMDH","es","power","effect","es_cat","number"
"BD loss 1",0.756007368649395,0.483463295888434,"cMAOM","a.Intercept_es",1
"BD loss 2",0.423749822777383,0.192258388346696,"cMAOM","a.Intercept_es",2
"Fert 1",1.0264693229314,0.191751693163007,"cMAOM","a.Intercept_es",3
"Fert 2",1.12229591265631,0.244749457208955,"cMAOM","a.Intercept_es",4
"Fert 3",2.43512165920387,0.64060715960295,"cMAOM","a.Intercept_es",5
"LUC 1",0.972891591104667,0.220865973573241,"cMAOM","a.Intercept_es",6
"LUC 2",0.522712434002991,0.106123990296052,"cMAOM","a.Intercept_es",7
"LUC 3",0.671937043422219,0.125759280753514,"cMAOM","a.Intercept_es",8
"LUC 4",0.714836397128482,0.15631699598011,"cMAOM","a.Intercept_es",9
"LUC 5",0.0520250566358407,0.0504683196044905,"cMAOM","a.Intercept_es",10
"LUC 6",0.0877137969082465,0.0577668486402578,"cMAOM","a.Intercept_es",11
"Inv 1",5.0538918928308,0.999999917154935,"cMAOM","a.Intercept_es",12
"BD loss 1",0.771846076034586,0.49948424387064,"MAOM","a.Intercept_es",13
"BD loss 2",0.423749822777383,0.192258388346696,"MAOM","a.Intercept_es",14
"Fert 1",1.86405547965554,0.50362093604356,"MAOM","a.Intercept_es",15
"Fert 2",1.66839141633865,0.469508326692201,"MAOM","a.Intercept_es",16
"Fert 3",2.43512165920387,0.64060715960295,"MAOM","a.Intercept_es",17
"LUC 1",0.972891591104667,0.220865973573241,"MAOM","a.Intercept_es",18
"LUC 2",0.522712434002991,0.106123990296052,"MAOM","a.Intercept_es",19
"LUC 3",0.671937043422219,0.125759280753514,"MAOM","a.Intercept_es",20
"LUC 4",0.714836397128482,0.15631699598011,"MAOM","a.Intercept_es",21
"LUC 5",0.0520250566358407,0.0504683196044905,"MAOM","a.Intercept_es",22
"LUC 6",0.102851456318519,0.0606968202385523,"MAOM","a.Intercept_es",23
"Inv 1",5.87455416937041,0.999999999923533,"MAOM","a.Intercept_es",24
"BD loss 1",0.756007368649395,0.288769766879368,"cESSP","b.BLUP_es",25
"BD loss 2",0.423749822777383,0.0814869094810546,"cESSP","b.BLUP_es",26
"Fert 1",1.0264693229314,0.165208827244721,"cESSP","b.BLUP_es",27
"Fert 2",1.12229591265631,0.149475054383744,"cESSP","b.BLUP_es",28
"Fert 3",2.43512165920387,0.367876016565456,"cESSP","b.BLUP_es",29
"LUC 1",0.972891591104667,0.120509738455933,"cESSP","b.BLUP_es",30
"LUC 2",0.522712434002991,0.276446108197121,"cESSP","b.BLUP_es",31
"LUC 3",0.671937043422219,0.152962480651876,"cESSP","b.BLUP_es",32
"LUC 4",0.714836397128482,0.217197260206008,"cESSP","b.BLUP_es",33
"LUC 5",0.0520250566358407,0.0587350302474723,"cESSP","b.BLUP_es",34
"LUC 6",0.0877137969082465,0.232456770935469,"cESSP","b.BLUP_es",35
"Inv 1",5.0538918928308,0.999979500134418,"cESSP","b.BLUP_es",36
"BD loss 1",0.771846076034586,0.296682586797299,"ESSP","b.BLUP_es",37
"BD loss 2",0.423749822777383,0.0814869094810546,"ESSP","b.BLUP_es",38
"Fert 1",1.86405547965554,0.241166740912405,"ESSP","b.BLUP_es",39
