"stressor_RR","es","power","effect","es_cat","number"
"BD loss 1",0.302748888777064,0.000110877169204657,"cMAOM","a.Intercept_es",1
"BD loss 2",0.11410505218043,0.163368621463286,"cMAOM","a.Intercept_es",2
"Fert 1",0.540111986275829,3.37081772174701e-07,"cMAOM","a.Intercept_es",3
"Fert 2",0.287297012331121,0.000268365868794695,"cMAOM","a.Intercept_es",4
"Warm 1",0.071449836770106,0.196074773063562,"cMAOM","a.Intercept_es",5
"Fert 3",0.17475736771057,0.00867235921664132,"cMAOM","a.Intercept_es",6
"Fert 4",0.635100665062346,1.87357078438154e-13,"cMAOM","a.Intercept_es",7
"LUC 1",0.315150694852809,0.000640066393806343,"cMAOM","a.Intercept_es",8
"LUC 2",0.489331660003547,0.0013153428335802,"cMAOM","a.Intercept_es",9
"LUC 3",0.460321060631471,0.00107630631028716,"cMAOM","a.Intercept_es",10
"LUC 4",0.0311665803510137,0.375175885260588,"cMAOM","a.Intercept_es",11
"LUC 5",0.0536621023667231,0.356960722185762,"cMAOM","a.Intercept_es",12
"Fert 5",0.0888157499063749,0.00907834559026043,"cMAOM","a.Intercept_es",13
"Fert 6",0.108801240847821,0.204000550737075,"cMAOM","a.Intercept_es",14
"Precip ",0.0120178709391637,0.295555769520841,"cMAOM","a.Intercept_es",15
"LUC 6",0.0436883719343155,0.316251646659856,"cMAOM","a.Intercept_es",16
"Warm 2",0.797139908249877,0.00435686614935027,"cMAOM","a.Intercept_es",17
"Inv 1",1.33585960425313,1.54935494292119e-91,"cMAOM","a.Intercept_es",18
"Fire 1",3.72716432189855,2.74056655661042e-06,"cMAOM","a.Intercept_es",19
"Fire 2",0.00294333021406599,0.495786410348224,"cMAOM","a.Intercept_es",20
"Fire 3",0.0754773587952458,0.393593617579438,"cMAOM","a.Intercept_es",21
"Warm 3",0.0799947431073161,0.0210428428898142,"cMAOM","a.Intercept_es",22
"Warm 4",0.0390968339616512,0.14520936664432,"cMAOM","a.Intercept_es",23
"Warm 5",0.0462511049617312,0.217214367769019,"cMAOM","a.Intercept_es",24
"BD loss 3",0.387441363103359,0.00451779986196394,"cMAOM","a.Intercept_es",25
"BD loss 4",0.22545438811447,0.0189723305462939,"cMAOM","a.Intercept_es",26
"BD loss 5",0.385937174610948,0.0166187451257964,"cMAOM","a.Intercept_es",27
"Acid",0.109396336507312,0.0200013337928658,"cMAOM","a.Intercept_es",28
"Inv 2",0.795174063113597,1.89459049165494e-05,"cMAOM","a.Intercept_es",29
"Inv 3",0.318911998191515,0.0002234700536953,"cMAOM","a.Intercept_es",30
"BD loss 1",0.303339522756604,0.000110155837301239,"MAOM","a.Intercept_es",31
"BD loss 2",0.280758088674229,0.0166895702297401,"MAOM","a.Intercept_es",32
"Fert 1",0.624493879205995,2.35992723935279e-08,"MAOM","a.Intercept_es",33
"Fert 2",0.563202040845238,4.51086564442333e-08,"MAOM","a.Intercept_es",34
"Warm 1",0.071449836770106,0.196074773063562,"MAOM","a.Intercept_es",35
"Fert 3",0.17475736771057,0.00867235921664132,"MAOM","a.Intercept_es",36
"Fert 4",0.614235134422731,6.70214233002255e-13,"MAOM","a.Intercept_es",37
"LUC 1",0.31515069467717,0.000640066416525495,"MAOM","a.Intercept_es",38
"LUC 2",0.489331659916264,0.00131534282254106,"MAOM","a.Intercept_es",39
"LUC 3",0.485811278606089,0.000731691497828079,"MAOM","a.Intercept_es",40
"LUC 4",0.212459319874228,0.0298498828482452,"MAOM","a.Intercept_es",41
"LUC 5",0.053662102402195,0.356960722114589,"MAOM","a.Intercept_es",42
"Fert 5",0.088828361886831,0.00907229915968865,"MAOM","a.Intercept_es",43
"Fert 6",0.1503532506576,0.132452547197671,"MAOM","a.Intercept_es",44
"Precip ",0.0206043273809476,0.183990365290888,"MAOM","a.Intercept_es",45
"LUC 6",0.287216649680991,0.0060894231069395,"MAOM","a.Intercept_es",46
"Warm 2",0.797139908249877,0.00435686614935027,"MAOM","a.Intercept_es",47
"Inv 1",0.205148067493953,1.31703479459318e-05,"MAOM","a.Intercept_es",48
"Fire 1",0.185795072294041,0.350581104333668,"MAOM","a.Intercept_es",49
"Fire 2",0.0916286821796462,0.371746072668989,"MAOM","a.Intercept_es",50
"Fire 3",0.0945372096177121,0.367863898696537,"MAOM","a.Intercept_es",51
"Warm 3",0.111125168174041,0.00472868827952361,"MAOM","a.Intercept_es",52
"Warm 4",0.0845578388473058,0.0209820205047762,"MAOM","a.Intercept_es",53
"Warm 5",0.0462511049617312,0.217214367769019,"MAOM","a.Intercept_es",54
"BD loss 3",0.500550348531446,0.000911870568652198,"MAOM","a.Intercept_es",55
"BD loss 4",0.496212049525797,0.0001512454664153,"MAOM","a.Intercept_es",56
"BD loss 5",0.419148216029129,0.011727531875816,"MAOM","a.Intercept_es",57
"Acid",0.213573620444919,0.00050338204352568,"MAOM","a.Intercept_es",58
"Inv 2",0.90427395944192,3.84866071484406e-06,"MAOM","a.Intercept_es",59
"Inv 3",0.318911998191515,0.0002234700536953,"MAOM","a.Intercept_es",60
"BD loss 1",0.302748888777064,0.000324020729002971,"cESSP","b.BLUP_es",61
"BD loss 2",0.11410505218043,0.266847276977547,"cESSP","b.BLUP_es",62
"Fert 1",0.540111986275829,5.39122330205996e-06,"cESSP","b.BLUP_es",63
"Fert 2",0.287297012331121,0.000112718689485491,"cESSP","b.BLUP_es",64
