"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",0.442,0.308,0.635,0.595
"lnRR*","MAOM",0.578,0.435,0.767,0.778
"lnRR","cMAOM",0.617,0.355,1.075,0.831
"lnRR","MAOM",0.656,0.39,1.104,0.883
"SMD","cMAOM",0.414,0.229,0.747,0.557
"SMD","MAOM",0.654,0.362,1.184,0.881
"SMDH","cMAOM",0.491,0.251,0.961,0.662
"SMDH","MAOM",0.653,0.366,1.167,0.88
"lnVR","MAOM",0.427,0.243,0.751,0.575
"lnCVR","MAOM",0.539,0.337,0.863,0.726
