"stressor_SMD","es","power","effect","es_cat","number"
"BD loss 1",0.572091453029763,1.828,"cMAOM","a.Intercept_es",1
"BD loss 2",0.468289775628364,2.101,"cMAOM","a.Intercept_es",2
"Fert 1",1.12605690788065,2.233,"cMAOM","a.Intercept_es",3
"Fert 2",1.1289414443435,2.072,"cMAOM","a.Intercept_es",4
"Fert 3",2.71990811144503,1.149,"cMAOM","a.Intercept_es",5
"LUC 1",1.07772837753926,1.9675,"cMAOM","a.Intercept_es",6
"LUC 2",0.438638425895531,3.666,"cMAOM","a.Intercept_es",7
"LUC 3",0.760751265804442,2.769,"cMAOM","a.Intercept_es",8
"LUC 4",0.703537611264105,2.5355,"cMAOM","a.Intercept_es",9
"LUC 5",0.0540181813728793,37.233,"cMAOM","a.Intercept_es",10
"LUC 6",0.0355147141794896,22.261,"cMAOM","a.Intercept_es",11
"Inv 1",6.09178582311888,1,"cMAOM","a.Intercept_es",12
"BD loss 1",0.791735440697375,1.4075,"MAOM","a.Intercept_es",13
"BD loss 2",0.468289775628364,2.1,"MAOM","a.Intercept_es",14
"Fert 1",2.09970219178714,1.335,"MAOM","a.Intercept_es",15
"Fert 2",1.90343482869281,1.3535,"MAOM","a.Intercept_es",16
"Fert 3",2.71990811144503,1.144,"MAOM","a.Intercept_es",17
"LUC 1",1.07772837753926,1.966,"MAOM","a.Intercept_es",18
"LUC 2",0.438638425895531,3.6495,"MAOM","a.Intercept_es",19
"LUC 3",0.760751265804442,2.7745,"MAOM","a.Intercept_es",20
"LUC 4",0.703537611264105,2.5445,"MAOM","a.Intercept_es",21
"LUC 5",0.0540181813728793,37.389,"MAOM","a.Intercept_es",22
"LUC 6",0.10291073181896,7.714,"MAOM","a.Intercept_es",23
"Inv 1",7.00908169415833,1,"MAOM","a.Intercept_es",24
"BD loss 1",0.572091453029763,2.466,"cESSP","b.BLUP_es",25
"BD loss 2",0.468289775628364,5.818,"cESSP","b.BLUP_es",26
"Fert 1",1.12605690788065,2.244,"cESSP","b.BLUP_es",27
"Fert 2",1.1289414443435,2.4845,"cESSP","b.BLUP_es",28
"Fert 3",2.71990811144503,1.555,"cESSP","b.BLUP_es",29
"LUC 1",1.07772837753926,3.1035,"cESSP","b.BLUP_es",30
"LUC 2",0.438638425895531,1.824,"cESSP","b.BLUP_es",31
"LUC 3",0.760751265804442,2.1845,"cESSP","b.BLUP_es",32
"LUC 4",0.703537611264105,2.059,"cESSP","b.BLUP_es",33
"LUC 5",0.0540181813728793,7.409,"cESSP","b.BLUP_es",34
"LUC 6",0.0355147141794896,1.857,"cESSP","b.BLUP_es",35
"Inv 1",6.09178582311888,1.001,"cESSP","b.BLUP_es",36
"BD loss 1",0.791735440697375,1.813,"ESSP","b.BLUP_es",37
"BD loss 2",0.468289775628364,5.838,"ESSP","b.BLUP_es",38
"Fert 1",2.09970219178714,1.83,"ESSP","b.BLUP_es",39
"Fert 2",1.90343482869281,1.823,"ESSP","b.BLUP_es",40
"Fert 3",2.71990811144503,1.548,"ESSP","b.BLUP_es",41
"LUC 1",1.07772837753926,3.094,"ESSP","b.BLUP_es",42
"LUC 2",0.438638425895531,1.8215,"ESSP","b.BLUP_es",43
"LUC 3",0.760751265804442,2.181,"ESSP","b.BLUP_es",44
"LUC 4",0.703537611264105,2.0555,"ESSP","b.BLUP_es",45
"LUC 5",0.0540181813728793,7.35,"ESSP","b.BLUP_es",46
"LUC 6",0.10291073181896,1.721,"ESSP","b.BLUP_es",47
"Inv 1",7.00908169415833,1.001,"ESSP","b.BLUP_es",48
"BD loss 1",0.572091453029763,0.996,"cMAOM.MA","c.MA.power",49
"BD loss 2",0.468289775628364,1.027,"cMAOM.MA","c.MA.power",50
"Fert 1",1.12605690788065,1.002,"cMAOM.MA","c.MA.power",51
"Fert 2",1.1289414443435,1.001,"cMAOM.MA","c.MA.power",52
"Fert 3",2.71990811144503,1.002,"cMAOM.MA","c.MA.power",53
"LUC 1",1.07772837753926,1.021,"cMAOM.MA","c.MA.power",54
"LUC 2",0.438638425895531,2.126,"cMAOM.MA","c.MA.power",55
"LUC 3",0.760751265804442,1.061,"cMAOM.MA","c.MA.power",56
"LUC 4",0.703537611264105,1.283,"cMAOM.MA","c.MA.power",57
"LUC 5",0.0540181813728793,6.779,"cMAOM.MA","c.MA.power",58
"LUC 6",0.0355147141794896,12.266,"cMAOM.MA","c.MA.power",59
"Inv 1",6.09178582311888,1.363,"cMAOM.MA","c.MA.power",60
"BD loss 1",0.791735440697375,1,"MAOM.MA","c.MA.power",61
"BD loss 2",0.468289775628364,1.032,"MAOM.MA","c.MA.power",62
"Fert 1",2.09970219178714,1,"MAOM.MA","c.MA.power",63
"Fert 2",1.90343482869281,1,"MAOM.MA","c.MA.power",64
"Fert 3",2.71990811144503,0.997,"MAOM.MA","c.MA.power",65
"LUC 1",1.07772837753926,1.023,"MAOM.MA","c.MA.power",66
"LUC 2",0.438638425895531,2.122,"MAOM.MA","c.MA.power",67
"LUC 3",0.760751265804442,1.058,"MAOM.MA","c.MA.power",68
"LUC 4",0.703537611264105,1.283,"MAOM.MA","c.MA.power",69
"LUC 5",0.0540181813728793,6.781,"MAOM.MA","c.MA.power",70
"LUC 6",0.10291073181896,4.335,"MAOM.MA","c.MA.power",71
"Inv 1",7.00908169415833,1.231,"MAOM.MA","c.MA.power",72
