"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",0.009,0.000999999999999997,0.02,0.013
"lnRR*","MAOM",0.004,-0.001,0.009,0.007
"lnRR","cMAOM",0.005,-0.004,0.018,0.008
"lnRR","MAOM",0.004,-0.004,0.017,0.007
"SMD","cMAOM",0.047,0.008,0.136,0.054
"SMD","MAOM",0.007,-0.004,0.022,0.01
"SMDH","cMAOM",0.011,-0.003,0.035,0.015
"SMDH","MAOM",0.006,-0.004,0.021,0.009
"lnVR","MAOM",0.007,-0.003,0.021,0.01
"lnCVR","MAOM",0.005,-0.005,0.021,0.008
