"effect_size","true_effect","Median","CI.lb","CI.ub","Mean"
"lnRR*","cMAOM",1.69,1.206,2.363,1.878
"lnRR*","MAOM",1.329,1.112,1.587,1.477
"lnRR","cMAOM",1.302,0.905,1.87,1.448
"lnRR","MAOM",1.261,0.885,1.793,1.403
"SMD","cMAOM",1.712,1.053,2.774,1.902
"SMD","MAOM",1.281,0.861,1.899,1.424
"SMDH","cMAOM",1.553,0.962,2.498,1.726
"SMDH","MAOM",1.278,0.868,1.877,1.421
"lnVR","MAOM",1.578,1.098,2.262,1.754
"lnCVR","MAOM",1.368,1.033,1.809,1.521
