Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,row,Study
1,4,1,-0.43,0.087873462,darkgreen,1.74366371,-0.310344828,4,m14_2_Andresen_2010
2,5,1,0.24,0.145560408,darkgreen,1.820434157,-0.310344828,5,m14_2_Andresen_2010
3,10,0.9,0.2,0.006666667,darkgreen,1.351397912,-0.327586207,10,m14_2_Biasi_2008
4,14,3.46,0.32,0.003846006,darkgreen,1.267722829,0.113793103,14,m14_2_Bloor_2010
5,15,5.6,0.33,0.012183236,darkgreen,1.443113101,0.482758621,15,m14_2_Boelman_2003
6,28,3.5,-0.16,0.015434481,darkgreen,1.479094398,0.120689655,28,m14_2_Briones_2009
7,31,2.2,0.03,0.010442774,darkgreen,1.419664769,-0.103448276,31,"m14_2_Chapin, III_1995"
8,32,0.82,0.23,0.0155521,darkgreen,1.480249185,-0.34137931,32,m14_2_Charles_2009
9,33,0.82,-0.19,0.013401233,darkgreen,1.457607318,-0.34137931,33,m14_2_Charles_2009
10,37,1.35,-0.35,0.0025,darkgreen,1.202200971,-0.25,37,m14_2_Christensen_1997
11,39,6,-0.1,0.003333333,darkgreen,1.245961172,0.551724138,39,m14_2_Cole_2002
12,41,1.8,0.17,0.058788948,darkgreen,1.682522781,-0.172413793,41,m14_2_Day_2008
13,42,1.8,0.18,0.066889632,darkgreen,1.702159072,-0.172413793,42,m14_2_Day_2008
14,43,3,-0.37,0.003333333,darkgreen,1.245961172,0.034482759,43,m14_2_De Boeck_2007
15,44,0.93,-0.06,0.070372977,darkgreen,1.709881146,-0.322413793,44,m14_2_De Valpine _2001
16,47,4,0.12,0.007542047,darkgreen,1.370164654,0.206896552,47,m14_2_Dukes_2005
17,64,1.3,-0.1,0.006666667,darkgreen,1.351397912,-0.25862069,64,m14_2_Gorissen_2004
18,65,0.2,0.17,0.01,darkgreen,1.413074452,-0.448275862,65,m14_2_Gorissen_2004
19,66,0.8,-0.31,0.006666667,darkgreen,1.351397912,-0.344827586,66,m14_2_Gorissen_2004
20,67,3,0.33,0.078369906,darkgreen,1.726253176,0.034482759,67,m14_2_Grogan_2000
21,68,3,0.46,0.024521824,darkgreen,1.549516586,0.034482759,68,m14_2_Grogan_2000
22,70,3,-0.02,0.01,darkgreen,1.413074452,0.034482759,70,m14_2_Hakala_1998
23,71,5,-0.14,0.005506305,darkgreen,1.322309904,0.379310345,71,m14_2_Hartley_1999
24,73,3,0.05,0.006666667,darkgreen,1.351397912,0.034482759,73,m14_2_Hartley_2007
25,74,3,0.02,0.006666667,darkgreen,1.351397912,0.034482759,74,m14_2_Hartley_2007
26,77,4.5,0.02,0.011613053,darkgreen,1.435822144,0.293103448,77,m14_2_Hobbie_1998
27,78,0.83,-0.46,0.002047544,darkgreen,1.171831641,-0.339655172,78,m14_2_Hovenden_2008
28,84,2.8,0.33,0.125,darkgreen,1.79727077,0,84,m14_2_Jonasson_1999
29,85,2.8,0.15,0.006816633,darkgreen,1.35478176,0,85,m14_2_Jonasson_1999
30,86,2.8,0.43,0.144927536,darkgreen,1.819771354,0,86,m14_2_Jonasson_1999
31,87,2.8,0.3,0.071377587,darkgreen,1.712037285,0,87,m14_2_Jonasson_1999
32,89,3,-0.06,0.021925016,darkgreen,1.532489776,0.034482759,89,m14_2_Kardol_2010
33,90,2.1,0.19,0.006666667,darkgreen,1.351397912,-0.120689655,90,m14_2_Kim_2011
34,91,1.5,0.63,0.005,darkgreen,1.307637711,-0.224137931,91,m14_2_Klein_2007
35,95,1.86,-0.09,0.003333333,darkgreen,1.245961172,-0.162068966,95,m14_2_Li_2004
36,98,1.55,0.52,0.002774002,darkgreen,1.21802078,-0.215517241,98,m14_2_Lin_2011
37,100,2.35,0.15,0.010778185,darkgreen,1.424473666,-0.077586207,100,m14_2_Liu_2011
