Unit_ID,X,LRR,var.LRR,col,scale,pr.st,Study,Exp..code
75,0.666666667,-1.47590652,2.932489067,blue,1.641510327,0,m15_1_Fox 2004,NA
76,0.666666667,-1.290984181,16.20514521,blue,1.563110983,0,m15_1_Fox 2004,NA
77,0.666666667,-2.197224577,49.20987654,blue,1.51216951,0,m15_1_Fox 2004,NA
78,0.666666667,0.570544858,281.0335977,blue,1.432261198,0,m15_1_Fox 2004,NA
79,0.666666667,-0.910085955,7.875199402,blue,1.596205179,0,m15_1_Fox 2004,NA
80,0.333333333,-0.287682072,0.07962963,blue,1.806897336,-0.571428573,m15_1_Gamfeldt et al. 2005,NA
81,0.666666667,-0.693147181,0.116666667,blue,1.789381208,0,m15_1_Gamfeldt et al. 2005,NA
82,0.666666667,0.81228102,0.046922906,blue,1.831152628,0,m15_1_Jonsson & Malmqvist 2003b,NA
83,0.333333333,0.502027913,0.056681237,blue,1.822487664,-0.571428573,m15_1_Jonsson & Malmqvist 2003b,NA
84,0.25,0.085495852,0.065659767,blue,1.815744032,-0.714285715,m15_1_Norberg 2000,NA
85,0.75,0.022015397,0.070065627,blue,1.812765507,0.142857142,m15_1_Norberg 2000,NA
86,0.333333333,-0.57953273,0.614425737,blue,1.713188267,-0.571428573,m15_1_O'Connor & Crowe 2005,NA
87,0.666666667,-0.332322737,0.437853357,blue,1.728726358,0,m15_1_O'Connor & Crowe 2005,NA
88,0.333333333,-0.421213465,0.595386032,blue,1.714631902,-0.571428573,m15_1_O'Connor & Crowe 2005,NA
89,0.666666667,-0.301668314,0.478526086,blue,1.724652625,0,m15_1_O'Connor & Crowe 2005,NA
90,0.333333333,0.422031249,0.266181928,darkgreen,1.751551856,-0.571428573,m15_1_Ritchie & Tilman 1993,NA
91,0.666666667,-0.895992523,1.223809269,darkgreen,1.681588001,0,m15_1_Ritchie & Tilman 1993,NA
