Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
69,370,0.666666667,0,0.066666667,blue,1.003782094,m1_131,A,-0.145143744
70,371,0.333333333,0,0.266666667,blue,1.000625528,m1_131,A,-1.699552916
71,382,0.666666667,-3.218875825,0.282346667,blue,1.000567095,m1_131,A,-0.145143744
72,383,0.333333333,-1.021651248,0.016503045,blue,1.016575272,m1_131,A,-1.699552916
73,384,0.923076923,-0.09090165,0.030919389,darkgreen,1.008648023,m1_132,T,1.050555614
74,491,0.875,-0.470720132,0.045529308,darkgreen,1.005736044,m1_145,T,0.826361984
75,492,0.9375,-0.579787332,0.027695185,darkgreen,1.009704475,m1_145,T,1.117813703
76,493,0.75,0.015987068,0.026720284,darkgreen,1.010074113,m1_145,T,0.243458546
77,494,0.5,-0.163303066,0.015750087,darkgreen,1.017388077,m1_145,T,-0.92234833
78,495,0.5,-0.201268016,0.00697149,darkgreen,1.039820641,m1_145,T,-0.92234833
79,496,0.9375,-1.052342935,0.025339555,darkgreen,1.010646291,m1_145,T,1.117813703
80,497,0.875,-0.684668136,0.030116102,darkgreen,1.008890072,m1_145,T,0.826361984
81,498,0.75,-0.333367656,0.016245848,darkgreen,1.016844439,m1_145,T,0.243458546
82,521,0.833333333,-1.235625222,0.050152947,darkgreen,1.005167899,m1_149,T,0.632060837
83,522,0.666666667,-0.882926632,0.058836397,darkgreen,1.004342219,m1_149,T,-0.145143744
84,523,0.5,-0.453242972,0.050493035,darkgreen,1.005130218,m1_149,T,-0.92234833
85,536,0.9375,-0.251348241,0.113400099,darkgreen,1.00204762,m1_152,T,1.117813703
86,537,0.875,-0.266681262,0.083309141,darkgreen,1.002941321,m1_152,T,0.826361984
87,538,0.25,-0.284452579,0.090581659,darkgreen,1.002670916,m1_152,T,-2.088155207
88,539,0.96875,0.384013785,0.079443237,darkgreen,1.003105215,m1_152,T,1.263539563
89,540,0.5,-0.144102711,0.154928027,darkgreen,1.001384398,m1_152,T,-0.92234833
90,541,0.75,-0.029300847,0.097806306,darkgreen,1.002442108,m1_152,T,0.243458546
91,542,0.5,-0.679692626,0.059796398,darkgreen,1.004265657,m1_152,T,-0.92234833
92,543,0.75,-0.479986642,0.070743674,darkgreen,1.003539541,m1_152,T,0.243458546
93,544,0.875,-0.425553736,0.06620411,darkgreen,1.0038115,m1_152,T,0.826361984
94,545,0.9375,-0.495746029,0.076194462,darkgreen,1.003255807,m1_152,T,1.117813703
95,546,0.25,-0.192391439,0.061571714,darkgreen,1.004130362,m1_152,T,-2.088155207
96,547,0.96875,-0.052754149,0.050842983,darkgreen,1.005091971,m1_152,T,1.263539563
97,548,0.5,-0.137085887,0.008145805,darkgreen,1.034018513,m1_153,T,-0.92234833
98,549,0.875,-0.387562827,0.023655099,darkgreen,1.011434785,m1_153,T,0.826361984
99,550,0.75,-0.245251597,0.011947973,darkgreen,1.023057127,m1_153,T,0.243458546
100,551,0.9375,-0.599274902,0.01718382,darkgreen,1.015901703,m1_153,T,1.117813703
101,588,0.9375,-0.684922142,0.044685065,darkgreen,1.005852477,m1_159,T,1.117813703
102,589,0.75,-0.069743814,0.027445711,darkgreen,1.009796564,m1_159,T,0.243458546
103,590,0.4375,0.029020133,0.035175502,darkgreen,1.007550018,m1_159,T,-1.213800049
104,591,0.9375,-0.418913411,0.025099525,darkgreen,1.010752183,m1_159,T,1.117813703
105,592,0.75,0.050623753,0.020827421,darkgreen,1.013045179,m1_159,T,0.243458546
106,593,0.4375,0.044987675,0.013698311,darkgreen,1.020056424,m1_159,T,-1.213800049
107,594,0.75,-0.258026542,0.023780207,darkgreen,1.011372382,m1_159,T,0.243458546
108,595,0.9375,-0.70591854,0.033346269,darkgreen,1.007987584,m1_159,T,1.117813703
109,596,0.4375,-0.042068907,0.021250248,darkgreen,1.012777122,m1_159,T,-1.213800049
110,597,0.75,-0.039404125,0.008855287,darkgreen,1.031258779,m1_159,T,0.243458546
111,598,0.4375,-0.054544464,0.009243053,darkgreen,1.029929507,m1_159,T,-1.213800049
112,599,0.9375,-0.230186213,0.014881843,darkgreen,1.018427433,m1_159,T,1.117813703
113,600,0.9375,-1.108074326,0.063645039,darkgreen,1.00398191,m1_159,T,1.117813703
114,601,0.75,-0.65912244,0.065283222,darkgreen,1.003871284,m1_159,T,0.243458546
115,602,0.4375,-0.325599606,0.106332301,darkgreen,1.002212083,m1_159,T,-1.213800049
116,603,0.4375,-0.376499699,0.041212783,darkgreen,1.00638151,m1_159,T,-1.213800049
117,604,0.75,0.013062526,0.121107516,darkgreen,1.001890154,m1_159,T,0.243458546
118,605,0.9375,-0.472960095,0.04414426,darkgreen,1.005929402,m1_159,T,1.117813703
119,606,0.9375,-1.266356506,0.037492962,darkgreen,1.007056975,m1_159,T,1.117813703
120,607,0.4375,-0.257609064,0.050075853,darkgreen,1.005176512,m1_159,T,-1.213800049
121,608,0.75,-0.834461664,0.057502252,darkgreen,1.004452864,m1_159,T,0.243458546
122,609,0.9375,-0.963419162,0.025644273,darkgreen,1.010514717,m1_159,T,1.117813703
123,610,0.4375,-0.370110985,0.020102169,darkgreen,1.01353122,m1_159,T,-1.213800049
124,611,0.75,-0.673503386,0.039475495,darkgreen,1.006681133,m1_159,T,0.243458546
125,658,0.4375,-0.084312416,0.004542963,darkgreen,1.0613356,m1_159,T,-1.213800049
126,659,0.75,-0.146219793,0.014068129,darkgreen,1.019517972,m1_159,T,0.243458546
127,660,0.9375,-0.776594624,0.026838075,darkgreen,1.010028026,m1_159,T,1.117813703
128,661,0.9375,-0.587437886,0.020915208,darkgreen,1.012988633,m1_159,T,1.117813703
129,662,0.4375,0.027169477,0.016709618,darkgreen,1.016365086,m1_159,T,-1.213800049
130,663,0.75,-0.002143736,0.012795288,darkgreen,1.021502011,m1_159,T,0.243458546
131,664,0.4375,0.066744363,0.013544058,darkgreen,1.020289706,m1_159,T,-1.213800049
132,665,0.9375,-0.638267752,0.020280992,darkgreen,1.013408149,m1_159,T,1.117813703
133,666,0.75,-0.002814091,0.023596962,darkgreen,1.011464008,m1_159,T,0.243458546
134,667,0.9375,-0.173067453,0.034031561,darkgreen,1.007818147,m1_159,T,1.117813703
135,668,0.75,-0.004261697,0.040254596,darkgreen,1.006543566,m1_159,T,0.243458546
136,669,0.4375,-0.201880926,0.020697892,darkgreen,1.013129486,m1_159,T,-1.213800049
137,670,0.9375,-0.798347084,0.049762371,darkgreen,1.00521181,m1_159,T,1.117813703
138,671,0.75,-0.340483649,0.052747694,darkgreen,1.004892694,m1_159,T,0.243458546
139,672,0.4375,-0.048866027,0.041047365,darkgreen,1.006408947,m1_159,T,-1.213800049
140,673,0.9375,-0.03022253,0.02167846,darkgreen,1.01251631,m1_159,T,1.117813703
141,674,0.4375,0.026571599,0.012603902,darkgreen,1.02183499,m1_159,T,-1.213800049
142,675,0.75,-0.123265975,0.028780574,darkgreen,1.009322404,m1_159,T,0.243458546
143,676,0.75,-0.569569805,0.055752921,darkgreen,1.004605967,m1_159,T,0.243458546
144,677,0.4375,-0.319512847,0.042836767,darkgreen,1.006123406,m1_159,T,-1.213800049
145,678,0.9375,-1.066722564,0.042183774,darkgreen,1.006224799,m1_159,T,1.117813703
146,679,0.9375,-0.624407703,0.015955025,darkgreen,1.017159251,m1_159,T,1.117813703
147,680,0.4375,-0.216944301,0.010892033,darkgreen,1.025333789,m1_159,T,-1.213800049
148,681,0.75,-0.112355499,0.01314704,darkgreen,1.020915304,m1_159,T,0.243458546
149,730,0.9375,-0.889558742,0.040186787,darkgreen,1.006555327,m1_159,T,1.117813703
150,731,0.75,-0.244401594,0.022525929,darkgreen,1.01202937,m1_159,T,0.243458546
151,732,0.4375,-0.0014242,0.013704598,darkgreen,1.020047027,m1_159,T,-1.213800049
152,733,0.4375,0.002627355,0.017381516,darkgreen,1.015715986,m1_159,T,-1.213800049
