Unit_ID,X,LRR,var.LRR,scale,col,time.since.fire,Fire.treatment,Ecosystem.type,pr.st,Study
55,1.714798428,0.493,0.666666667,1.40469715,darkgreen,0.08,Prescribed burn,Temperate grassland,0.40777965,m13_1_18
56,1.049822124,-0.072,0.666666667,1.40469715,darkgreen,0.25,Prescribed burn,Temperate grassland,0.233092163,m13_1_16
57,0.84397007,-0.134,0.666666667,1.40469715,darkgreen,0.33,Prescribed burn,Temperate grassland,0.179015382,m13_1_15
58,1.30933332,0.306,2,1,darkgreen,0.17,Wildfire,Temperate forest,0.301265057,m13_1_17
59,0.84397007,0.43,2,1,darkgreen,0.33,Wildfire,Temperate forest,0.179015382,m13_1_15
60,0.510825624,0.195,2,1,darkgreen,0.5,Wildfire,Temperate forest,0.091499232,m13_1_13
61,-0.300104592,-0.083,2,1,darkgreen,1.25,Wildfire,Temperate forest,-0.121529955,m13_1_6
62,-0.357674444,-0.031,2,1,darkgreen,1.33,Wildfire,Temperate forest,-0.1366534,m13_1_5
63,-0.418710335,0,2,1,darkgreen,1.42,Wildfire,Temperate forest,-0.152687365,m13_1_4
64,-0.09531018,0.155,0.666666667,1.40469715,darkgreen,1,Prescribed burn,Savanna,-0.067731014,m13_1_8
65,-1.62924054,0.123,2,1,darkgreen,5,Slash and burn,Tropical forest,-0.470690395,m13_1_2
66,1.714798428,0.181,0.4,1.671264348,darkgreen,0.08,Prescribed burn,Savanna,0.40777965,m13_1_18
