Unit_ID,X.1,X,LRR,var.LRR,Study,dist.inv,scale,col,row.ID,pr.st
49,518,-2.564949357,0.925769476,1.514061944,m6_5_89,-1.945910149,1.226871666,darkgreen,1540,-0.603568758
50,519,-2.564949357,1.021651248,1.3721,m6_5_89,-1.945910149,1.240284471,darkgreen,1541,-0.603568758
51,520,-2.564949357,-0.249737141,0.264973572,m6_5_89,-1.945910149,1.464318032,darkgreen,1542,-0.603568758
52,521,-2.564949357,-0.714653386,1.181077411,m6_5_89,-1.945910149,1.260708142,darkgreen,1543,-0.603568758
53,522,-0.510825624,0.083381609,0.05949036,m6_5_90,-0.530628251,1.667827591,darkgreen,1552,1.126755289
54,523,-0.510825624,0.435318071,0.063627784,m6_5_90,-0.530628251,1.65866772,darkgreen,1553,1.126755289
55,524,-0.510825624,0.133531393,0.06760204,m6_5_90,-0.530628251,1.650413542,darkgreen,1554,1.126755289
56,525,-0.510825624,1.299282984,0.074380166,m6_5_90,-0.530628251,1.637396158,darkgreen,1555,1.126755289
57,526,-0.510825624,-0.430782916,0.055754438,m6_5_90,-0.530628251,1.676663401,darkgreen,1556,1.126755289
58,527,-0.510825624,-0.061875404,0.054775917,m6_5_90,-0.530628251,1.679075626,darkgreen,1557,1.126755289
59,528,-0.510825624,-0.470003629,0.055625003,m6_5_90,-0.530628251,1.676980041,darkgreen,1558,1.126755289
60,529,-0.510825624,-0.587786665,0.052345682,m6_5_90,-0.530628251,1.685258117,darkgreen,1559,1.126755289
61,530,-0.510825624,-1.734601055,0.114571325,m6_5_90,-0.530628251,1.578541643,darkgreen,1560,1.126755289
62,531,-0.510825624,1.704748092,0.074380166,m6_5_90,-0.530628251,1.637396158,darkgreen,1561,1.126755289
63,532,-0.510825624,1.734601055,0.08650519,m6_5_90,-0.530628251,1.616822661,darkgreen,1562,1.126755289
64,533,-0.510825624,0.470003629,0.0625,m6_5_90,-0.530628251,1.661104098,darkgreen,1563,1.126755289
65,534,-0.510825624,1.15267951,0.044321329,m6_5_90,-0.530628251,1.707928039,darkgreen,1564,1.126755289
66,535,-0.510825624,0.383582397,0.0613987,m6_5_90,-0.530628251,1.663526064,darkgreen,1565,1.126755289
67,536,-0.510825624,0,0.040000002,m6_5_90,-0.530628251,1.721903883,darkgreen,1566,1.126755289
68,537,-0.510825624,0,0.062499999,m6_5_90,-0.530628251,1.6611041,darkgreen,1567,1.126755289
69,538,-0.510825624,0.693147181,0.015625001,m6_5_90,-0.530628251,1.849965496,darkgreen,1568,1.126755289
70,539,-0.510825624,0.268263987,0.009377368,m6_5_90,-0.530628251,1.919523277,darkgreen,1569,1.126755289
71,540,-0.510825624,0.287682072,0.015625001,m6_5_90,-0.530628251,1.849965496,darkgreen,1570,1.126755289
72,541,-0.510825624,0.693147181,0.027777779,m6_5_90,-0.530628251,1.77158093,darkgreen,1571,1.126755289
73,542,-0.510825624,-0.069593292,0.005194384,m6_5_90,-0.530628251,2,darkgreen,1572,1.126755289
74,543,-0.510825624,0.938269639,0.007561437,m6_5_90,-0.530628251,1.948846152,darkgreen,1573,1.126755289
75,544,-0.510825624,1.029619417,0.020408163,m6_5_90,-0.530628251,1.813582285,darkgreen,1574,1.126755289
76,545,-0.510825624,1.098612289,0.049382715,m6_5_90,-0.530628251,1.693196375,darkgreen,1575,1.126755289
77,623,-3.091042453,0.356674944,0.765555556,m6_5_96,-2.564949357,1.319776864,darkgreen,1666,-1.046731709
78,663,-0.693147181,-1.593689555,5.520961583,m6_5_113,-2.197224577,1.0506172,darkgreen,1767,0.973173804
79,666,-2.63905733,-0.083381609,0.031845746,m6_5_116,-0.405465108,1.752962084,darkgreen,1796,-0.665994796
80,667,-2.63905733,0.826678573,0.28132972,m6_5_116,-0.405465108,1.456157945,darkgreen,1797,-0.665994796
81,668,-2.63905733,0.693147181,0.250000013,m6_5_116,-0.405465108,1.472242685,darkgreen,1798,-0.665994796
82,669,-2.63905733,0.510825624,1.359999944,m6_5_116,-0.405465108,1.241491205,darkgreen,1799,-0.665994796
83,670,-2.63905733,-0.271933715,1.383219959,m6_5_116,-0.405465108,1.239184829,darkgreen,1800,-0.665994796
84,671,-2.63905733,2.079441542,1.999999983,m6_5_116,-0.405465108,1.188950585,darkgreen,1801,-0.665994796
85,673,-2.63905733,-1.386294361,2.000000036,m6_5_116,-0.405465108,1.188950582,darkgreen,1803,-0.665994796
86,676,-2.63905733,0.455475529,0.07150312,m6_5_116,-0.405465108,1.642770376,darkgreen,1806,-0.665994796
