Unit_ID,X,LRR,var.LRR,scale,col,Study,ID.case,system,pr.st
353,1.272540356,-0.2022368,0.061485023,1.381049678,darkcyan,m2_2_HLH359,353,marine,1.299329348
354,1.272540356,0.054067102,0.038711149,1.407782391,darkcyan,m2_2_HLH359,354,marine,1.299329348
355,1.272540356,0.405464384,0.024691271,1.433764656,darkcyan,m2_2_HLH360,355,marine,1.299329348
356,1.272540356,0.287681603,0.045529108,1.398409121,darkcyan,m2_2_HLH360,356,marine,1.299329348
357,1.272540356,0.276252434,0.079135811,1.366467699,darkcyan,m2_2_HLH361,357,marine,1.299329348
358,1.272540356,0.169898542,0.027970524,1.426559439,darkcyan,m2_2_HLH361,358,marine,1.299329348
359,1.272540356,0.392561376,0.021887423,1.440729286,darkcyan,m2_2_HLH362,359,marine,1.299329348
360,1.272540356,0.351976244,0.075022148,1.369552104,darkcyan,m2_2_HLH362,360,marine,1.299329348
361,1.272540356,0.606134901,0.020610076,1.444203701,darkcyan,m2_2_HLH363,361,marine,1.299329348
362,1.272540356,0.438254233,0.033977536,1.415318489,darkcyan,m2_2_HLH363,362,marine,1.299329348
363,1.272540356,0.538995221,0.047512506,1.395945329,darkcyan,m2_2_HLH364,363,marine,1.299329348
364,1.272540356,0.265702728,0.027013141,1.428571781,darkcyan,m2_2_HLH364,364,marine,1.299329348
375,-0.365032935,0.501394849,0.03085448,1.420889473,darkblue,m2_2_HLH501,375,freshwater,-0.377258542
376,-0.365032935,0.713089025,0.169982408,1.322293396,darkblue,m2_2_HLH501,376,freshwater,-0.377258542
377,-0.365032935,1.064769993,0.116497939,1.344123812,darkblue,m2_2_HLH501,377,freshwater,-0.377258542
378,-0.365032935,1.620380798,0.018969554,1.448996231,darkblue,m2_2_HLH501,378,freshwater,-0.377258542
379,-0.365032935,0.575871255,0.162923022,1.324744245,darkblue,m2_2_HLH502,379,freshwater,-0.377258542
380,-0.365032935,1.898360237,0.036863068,1.410608829,darkblue,m2_2_HLH502,380,freshwater,-0.377258542
381,-0.365032935,1.328488971,0.185537151,1.317234192,darkblue,m2_2_HLH502,381,freshwater,-0.377258542
382,-0.365032935,0.68390381,0.027669654,1.427184325,darkblue,m2_2_HLH502,382,freshwater,-0.377258542
383,-0.365032935,1.478991361,0.011280282,1.479028923,darkblue,m2_2_HLH503,383,freshwater,-0.377258542
384,-0.365032935,1.237362705,0.039787122,1.406198323,darkblue,m2_2_HLH503,384,freshwater,-0.377258542
385,-0.365032935,2.117772815,0.036601512,1.411020258,darkblue,m2_2_HLH503,385,freshwater,-0.377258542
386,-0.365032935,1.133744994,0.083712933,1.363218861,darkblue,m2_2_HLH503,386,freshwater,-0.377258542
387,-0.365032935,1.257516328,0.153744726,1.328094558,darkblue,m2_2_HLH504,387,freshwater,-0.377258542
388,-0.365032935,0.712394153,0.008166411,1.497693316,darkblue,m2_2_HLH504,388,freshwater,-0.377258542
389,-0.365032935,0.596747649,0.021260982,1.44240713,darkblue,m2_2_HLH504,389,freshwater,-0.377258542
390,-0.365032935,1.300951405,0.015064764,1.462313117,darkblue,m2_2_HLH504,390,freshwater,-0.377258542
391,-0.365032935,0.006422972,0.296416001,1.290163884,darkblue,m2_2_HLH505,391,freshwater,-0.377258542
392,-0.365032935,1.423413287,0.122564448,1.341190715,darkblue,m2_2_HLH505,392,freshwater,-0.377258542
393,-0.365032935,0.64315314,0.009984683,1.486078281,darkblue,m2_2_HLH505,393,freshwater,-0.377258542
394,-0.365032935,-0.010454053,0.135036019,1.335591596,darkblue,m2_2_HLH505,394,freshwater,-0.377258542
471,0.852332333,0.804372816,0.005814533,1.517319304,darkblue,m2_2_HLH592,471,freshwater,0.869110019
472,0.852332333,0.913878185,0.004309709,1.53462376,darkblue,m2_2_HLH592,472,freshwater,0.869110019
473,0.852332333,-0.157003749,0.006560444,1.510345412,darkblue,m2_2_HLH592,473,freshwater,0.869110019
516,-1.033535777,0.42450101,0.035897062,1.412143154,darkblue,m2_2_HLH629,516,freshwater,-1.061688226
517,-1.033535777,-0.040775313,0.024252644,1.434800308,darkblue,m2_2_HLH629,517,freshwater,-1.061688226
518,-1.033535777,0.184352653,0.049847481,1.393173347,darkblue,m2_2_HLH629,518,freshwater,-1.061688226
519,-1.033535777,-0.442530886,0.053721878,1.388848398,darkblue,m2_2_HLH629,519,freshwater,-1.061688226
520,-1.033535777,0.021994779,0.037171358,1.41012762,darkblue,m2_2_HLH629,520,freshwater,-1.061688226
521,-1.033535777,-0.059392426,0.080801705,1.365263999,darkblue,m2_2_HLH629,521,freshwater,-1.061688226
522,-1.033535777,0.58901859,0.023915819,1.435608387,darkblue,m2_2_HLH629,522,freshwater,-1.061688226
523,-1.033535777,-0.196539754,0.143964243,1.331892341,darkblue,m2_2_HLH629,523,freshwater,-1.061688226
524,-1.033535777,0.72486092,0.025510708,1.431878235,darkblue,m2_2_HLH630,524,freshwater,-1.061688226
525,-1.033535777,0.365135493,0.109216884,1.347852795,darkblue,m2_2_HLH630,525,freshwater,-1.061688226
526,-1.033535777,0.961324162,0.035784753,1.41232421,darkblue,m2_2_HLH630,526,freshwater,-1.061688226
527,-1.033535777,0.307093402,0.011130624,1.479800631,darkblue,m2_2_HLH630,527,freshwater,-1.061688226
528,-1.033535777,0.298492422,0.010778552,1.481657785,darkblue,m2_2_HLH631,528,freshwater,-1.061688226
