Unit_ID,X.1,X,LRR,var.LRR,scale,col,row,Study,pr.st
58,258,3.230239584,0,0.000765228,1.563204002,darkgreen,258,Turner et al. 2011,0.272625694
59,259,2.49627964,0.940983344,0.001047631,1.547726319,darkgreen,259,Turner et al. 2011,0.145511603
60,260,3.535369595,0.430782916,0.003991069,1.481820617,darkgreen,260,Turner et al. 2011,0.325470981
61,261,4.615120517,0.045809536,0.000311272,1.607526539,darkgreen,261,Turner et al. 2011,0.512472408
62,264,3.535369595,-0.015037877,7.54E-05,1.677397609,darkgreen,264,Turner et al. 2011,0.325470981
63,284,2.493205453,-0.025502293,0.000478002,1.58639045,darkgreen,284,Ogle et al. 2003,0.144979186
64,285,0.003992021,-0.033522692,0.00153058,1.529045688,darkgreen,285,Ogle et al. 2003,-0.286126224
65,286,0.067658648,0.032789823,0.001818181,1.520561161,darkgreen,286,Ogle et al. 2003,-0.275099838
66,287,2.014903021,-0.016172859,0.002103348,1.513382204,darkgreen,287,Ogle et al. 2003,0.06214227
67,288,1.945910149,-0.098601977,0.003912895,1.482795341,darkgreen,288,Ogle et al. 2003,0.050193435
68,289,0,-0.049132689,0.001915277,1.517997632,darkgreen,289,Ogle et al. 2003,-0.2868176
69,290,0,0.00806456,0.000811159,1.560331792,darkgreen,290,Ogle et al. 2003,-0.2868176
70,291,2.066862759,0.182321557,0.000867556,1.557019774,darkgreen,291,Ogle et al. 2003,0.071141146
71,292,2.493205453,0.341069946,0.017553122,1.408836911,darkgreen,292,Ogle et al. 2003,0.144979186
72,293,0.003992021,0.06094601,0.028071604,1.385701325,darkgreen,293,Ogle et al. 2003,-0.286126224
73,294,0.067658648,0.193371393,0.033714739,1.376675433,darkgreen,294,Ogle et al. 2003,-0.275099838
74,295,2.014903021,-0.174509017,0.018641988,1.405871357,darkgreen,295,Ogle et al. 2003,0.06214227
75,296,1.945910149,0.39111766,0.006926984,1.454652489,darkgreen,296,Ogle et al. 2003,0.050193435
76,297,0,0.09164459,0.007856603,1.448447389,darkgreen,297,Ogle et al. 2003,-0.2868176
77,298,0,-0.161366192,0.057472218,1.350394184,darkgreen,298,Ogle et al. 2003,-0.2868176
78,299,2.066862759,-0.324339563,0.018415112,1.406474712,darkgreen,299,Ogle et al. 2003,0.071141146
