Unit_ID,X.1,X,LRR,var.LRR,scale,col,Study,pr.st
1,1,0.9,0.269,0.0457,1.689647981,darkgreen,Aerts et al. 2006,-1.337678929
2,2,0.9,-0.1081,0.0294,1.719966908,darkgreen,Aerts et al. 2006,-1.337678929
3,3,0.9,0.4806,0.0386,1.701253486,darkgreen,Aerts et al. 2006,-1.337678929
4,4,0.9,0.0298,0.0187,1.751067174,darkgreen,Aerts et al. 2006,-1.337678929
5,5,0.9,0.2177,0.0729,1.657549749,darkgreen,Aerts et al. 2006,-1.337678929
6,6,0.9,0.0965,0.0569,1.674581636,darkgreen,Aerts et al. 2006,-1.337678929
7,70,3.6,0.1425,0.0191,1.749612427,darkgreen,Biasi et al. 2008,0.514458095
8,71,3.6,0.6286,0.7225,1.499898891,darkgreen,Biasi et al. 2008,0.514458095
9,72,3.6,0,0.0661,1.664280199,darkgreen,Biasi et al. 2008,0.514458095
10,73,3.6,-0.1942,0.1064,1.631560164,darkgreen,Biasi et al. 2008,0.514458095
11,74,3.6,0.4146,0.0204,1.745086512,darkgreen,Biasi et al. 2008,0.514458095
12,75,4.4,-0.3316,0.0246,1.732218667,darkgreen,Boelman et al. 2003,1.063239435
13,76,4.4,0.33,0.0117,1.783299049,darkgreen,Boelman et al. 2003,1.063239435
14,77,4.4,0.7288,0.0342,1.709572161,darkgreen,Boelman et al. 2005,1.063239435
15,78,4.4,0.8988,0.0357,1.70662174,darkgreen,Boelman et al. 2005,1.063239435
16,79,4.4,0.1482,0.0376,1.703057638,darkgreen,Boelman et al. 2005,1.063239435
17,80,4.4,0.4855,0.0306,1.717217171,darkgreen,Boelman et al. 2005,1.063239435
18,81,4.4,0.9651,0.036,1.706046554,darkgreen,Boelman et al. 2005,1.063239435
19,82,4.4,0.27,0.0246,1.732218667,darkgreen,Boelman et al. 2005,1.063239435
20,103,3.5,-0.1624,0.0926,1.641108481,darkgreen,Briones et al. 2009,0.445860427
21,128,5,-0.1898,0.0048,1.844539406,darkgreen,Chapin & Shaver 1985,1.47482544
22,129,5,0.3659,0.0061,1.828065672,darkgreen,Chapin & Shaver 1985,1.47482544
23,130,5,-0.136,0.0068,1.820598806,darkgreen,Chapin & Shaver 1985,1.47482544
24,131,5,-0.0123,0.0058,1.831531999,darkgreen,Chapin & Shaver 1985,1.47482544
25,132,5,1.0188,0.0134,1.773974157,darkgreen,Chapin & Shaver 1985,1.47482544
26,133,5,0.643,0.0094,1.798343543,darkgreen,Chapin & Shaver 1985,1.47482544
27,134,5,-0.0465,0.0183,1.752553378,darkgreen,Chapin & Shaver 1985,1.47482544
28,135,5,0.0454,0.0073,1.815721991,darkgreen,Chapin & Shaver 1985,1.47482544
29,136,5,-0.0505,0.0296,1.719500911,darkgreen,Chapin & Shaver 1985,1.47482544
30,137,5,0.4146,0.0073,1.815721991,darkgreen,Chapin & Shaver 1985,1.47482544
31,138,5,0.2194,0.0129,1.776587941,darkgreen,Chapin & Shaver 1985,1.47482544
