Unit_ID,X.1,X,LRR,var.LRR,col,scale,pr.st,Study,System
101,163,-0.282908797,-1.237922918,0.087924525,darkblue,1.002149899,-0.215329893,m16_1_Schoener & Spiller (1996),T
102,164,-0.282908797,-1.701497021,0.627103255,darkblue,1.012433771,-0.215329893,m16_1_Schoener & Spiller (1996),T
103,165,0.41111578,-2.705011924,0.097571023,darkblue,1.002375433,-0.169004396,m16_1_Schoener et al. (2002),T
104,166,1.068359245,-1.489042244,0.080299132,darkblue,1.001970199,-0.125134004,m16_1_Schoener et al. (2002),T
105,167,1.414031116,-2.090429592,0.086503263,darkblue,1.002116501,-0.102060727,m16_1_Schoener et al. (2002),T
106,168,0.837247525,-1.317923015,0.053027889,darkblue,1.001316978,-0.140560497,m16_1_Schoener et al. (2002),T
107,169,0.786273159,-1.938547458,0.049339374,darkblue,1.001227332,-0.143962989,m16_1_Schoener et al. (2002),T
108,170,0.223863292,-1.937314302,0.109289512,darkblue,1.002646758,-0.181503326,m16_1_Schoener et al. (2002),T
109,171,-0.282908797,-0.932688878,0.27984598,darkblue,1.00630065,-0.215329893,m16_1_Spiller & Schoener (1998),T
110,172,-4.432898965,0.097137825,0.043904492,darkblue,1.001094665,-0.492337889,m16_1_Wiens et al. (1991),T
111,173,-4.432898965,0.330425893,0.042906158,darkblue,1.001070221,-0.492337889,m16_1_Wiens et al. (1991),T
112,174,-4.432898965,0.098874459,0.038156423,darkblue,1.000953601,-0.492337889,m16_1_Wiens et al. (1991),T
113,175,-4.432898965,-0.146326626,0.063374903,darkblue,1.001566787,-0.492337889,m16_1_Wiens et al. (1991),T
114,176,-4.432898965,-0.107440189,0.039740398,darkblue,1.000992551,-0.492337889,m16_1_Wiens et al. (1991),T
115,177,2.772588722,-0.262403393,0.025268704,darkblue,1.00063446,-0.011378267,m16_1_Atwood et al 2014,F
116,178,1.786028795,-0.334064815,0.067639795,darkblue,1.001669049,-0.077230227,m16_1_Eklöv van Kooten 2001,F
117,179,-1.256530055,-0.062516619,0.000508705,darkblue,1.000009907,-0.28031821,m16_1_Fairchild Holomuzki 2005,F
118,180,4.719872927,-0.592716476,0.035694616,darkblue,1.000892946,0.118601148,m16_1_Griffen 2006,M
119,181,5.413020107,0.001447521,0.082038125,darkblue,1.002011291,0.16486808,m16_1_Griffen 2006,M
120,182,4.719872927,-1.75772217,0.060580196,darkblue,1.001499555,0.118601148,m16_1_Griffen 2007,M
121,183,5.413020107,-0.620251686,0.01229627,darkblue,1.000309145,0.16486808,m16_1_Griffen 2008,M
122,184,3.401197382,-1.234265835,0.455193147,darkblue,1.009581001,0.030580778,m16_1_Nyström et al 2001,F
123,185,0.566125168,-0.043987863,0.000173312,darkblue,1.000001341,-0.158657663,m16_1_Ramos Buskirk 2012,F
124,186,0.566125168,-0.043987863,0.000173312,darkblue,1.000001341,-0.158657663,m16_1_Ramos Buskirk 2012,F
125,187,1.933589665,-0.02308262,0.00012081,darkblue,1,-0.067380676,m16_1_Ramos Buskirk 2012,F
126,188,0.566125168,-0.047340055,0.000235208,darkblue,1.000002922,-0.158657663,m16_1_Ramos Buskirk 2012,F
127,189,0.566125168,-0.047340055,0.000235208,darkblue,1.000002922,-0.158657663,m16_1_Ramos Buskirk 2012,F
128,190,1.933589665,-0.036486265,0.000199748,darkblue,1.000002016,-0.067380676,m16_1_Ramos Buskirk 2012,F
129,191,3.428326049,-0.471627198,0.005232298,darkblue,1.000130241,0.032391592,m16_1_Wissinger McGrady 1993,F
130,192,0.898208224,-0.363606142,0.017857894,darkblue,1.000449123,-0.136491427,m16_1_Porter-Whitaker et al 2012,F
131,193,2.152169097,-0.937364954,0.02733909,darkblue,1.000685999,-0.052790702,m16_1_Stelzer Lamberti 1999,F
132,194,2.564949357,-1.584050235,0.222777698,darkblue,1.005135281,-0.025238002,m16_1_Atwood et al 2014,F
133,195,1.846428013,-0.424580046,0.095039478,darkblue,1.002316438,-0.073198635,m16_1_Eklöv van Kooten 2001,F
134,196,1.838643055,-0.014825463,0.00074221,darkblue,1.000015869,-0.073718274,m16_1_Fairchild Holomuzki 2005,F
135,197,2.840713267,-0.169950815,0.006127356,darkblue,1.000152978,-0.006831017,m16_1_Griffen 2006,M
136,198,3.533860448,-0.039857967,0.002639561,darkblue,1.000064261,0.039435915,m16_1_Griffen 2006,M
137,199,2.840713267,-0.282279423,0.031488188,darkblue,1.000788972,-0.006831017,m16_1_Griffen 2007,M
138,200,3.533860448,-0.116812306,0.000799395,darkblue,1.000017329,0.039435915,m16_1_Griffen 2008,M
139,201,3.218875825,-1.191319917,0.506026177,darkblue,1.010458218,0.018410984,m16_1_Nyström et al 2001,F
140,202,1.933589665,-0.02308262,0.00012081,darkblue,1,-0.067380676,m16_1_Ramos Buskirk 2012,F
