Unit_ID,X.1,X,LRR,var.LRR,col,scale,Study,Sys1,pr.st
1,175,0.833333333,-0.470948958,0.019741016,darkgreen,1.031286442,10,T,0.560259908
2,176,0.5,-0.100124902,0.029878604,darkgreen,1.020670407,10,T,-1.015673868
3,285,0.333333333,-0.068992871,0.10680102,darkgreen,1.005781092,25,T,-1.803640759
4,286,0.666666667,-0.510825624,0.295222222,darkgreen,1.002089932,25,T,-0.227706978
7,333,0.857142857,-0.492476485,3.239786028,blue,1.000188359,28,A,0.672826607
9,402,0.8,-0.415991521,0.041284361,darkgreen,1.014959097,34,T,0.402666532
10,403,0.8,-0.510825624,0.013888889,darkgreen,1.044470049,34,T,0.402666532
11,404,0.8,-0.228502302,0.00061767,darkgreen,2,34,T,0.402666532
12,532,0.833333333,-0.153199431,0.588144797,darkgreen,1.00104791,51,T,0.560259908
13,533,0.333333333,0.651239062,0.57186222,darkgreen,1.001077812,51,T,-1.803640759
14,534,0.666666667,0.394700742,0.539920197,darkgreen,1.001141712,51,T,-0.227706978
15,535,0.916666667,-0.386376512,0.578973473,darkgreen,1.001064546,51,T,0.954243356
16,584,0.9375,-0.437781169,0.151219958,darkgreen,1.004082296,58,T,1.052739215
17,585,0.875,-0.814584472,0.189209927,darkgreen,1.003262184,58,T,0.757251632
18,586,0.75,-0.607508487,0.22718084,darkgreen,1.00271656,58,T,0.166276465
19,587,0.96875,-0.761392109,0.162855031,darkgreen,1.003790475,58,T,1.200483007
20,636,0.75,-0.037457563,0.044689544,darkgreen,1.013819092,59,T,0.166276465
21,637,0.9375,-0.865227243,0.292147643,darkgreen,1.002111951,59,T,1.052739215
22,638,0.4375,-0.024187226,0.044143606,darkgreen,1.013990026,59,T,-1.311161451
23,639,0.4375,0.009547523,0.042532548,darkgreen,1.01452003,59,T,-1.311161451
24,640,0.9375,-0.335628387,0.080088738,darkgreen,1.007710045,59,T,1.052739215
25,641,0.75,-0.018981782,0.045522927,darkgreen,1.013566066,59,T,0.166276465
26,642,0.9375,-0.685273124,0.175904637,darkgreen,1.003509106,59,T,1.052739215
27,643,0.4375,0.009832921,0.022797999,darkgreen,1.027090936,59,T,-1.311161451
28,644,0.75,0.057597492,0.020784581,darkgreen,1.029715478,59,T,0.166276465
29,645,0.75,-0.028154689,0.053890594,darkgreen,1.011459288,59,T,0.166276465
30,646,0.4375,-0.044014053,0.057322439,darkgreen,1.010773093,59,T,-1.311161451
31,647,0.9375,-0.256263929,0.063350161,darkgreen,1.009747823,59,T,1.052739215
32,648,0.75,-1.293758108,7.696641838,darkgreen,1.000077959,59,T,0.166276465
33,649,0.4375,-0.548213156,3.69622172,darkgreen,1.000164816,59,T,-1.311161451
34,650,0.9375,-1.574662998,11.79776711,darkgreen,1.000050062,59,T,1.052739215
35,651,0.75,0.442768469,1.479470484,darkgreen,1.000415202,59,T,0.166276465
36,652,0.4375,-0.979935997,8.470704312,darkgreen,1.000070625,59,T,-1.311161451
37,653,0.9375,-0.341848594,0.66214774,darkgreen,1.000930537,59,T,1.052739215
38,654,0.75,0.013315776,0.471747765,darkgreen,1.001307032,59,T,0.166276465
39,655,0.4375,-0.008608375,0.038868968,darkgreen,1.015888826,59,T,-1.311161451
40,656,0.75,-0.053400777,0.047951015,darkgreen,1.012879007,59,T,0.166276465
