"X.1","Unit_ID","Entry","Study","Expt","Ygen","Yspec","Smax","Y.treatment","T_mean","T_sd","T_N","C_mean","C_sd","C_N","X","col","scale","Sys1","pr.st","RR","VRR","CVR","VCVR","VR","VVR","power_RR","power_CVR","power_VR","d20_power_RR","d20_power_CVR","d20_power_VR"
3,3,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y22",408,110.227,6,725,107.778,6,0.083333333,"darkgreen",1.017277958,"T",-2.865359792,-0.574904480450513,0.0158480489982633,0.597372800219162,0.215848048998263,0.022468319768649,0.2,0.695463886705389,0.102744929847098,0.107021227014842,0.304760200804234,0.0678216131100753,0.0692483443941271
6,6,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y20",551,142.07,6,961,218.005,6,0.166666667,"darkgreen",1.013847133,"T",-2.476757497,-0.556239599817378,0.0196572588150753,0.128041495395479,0.219657258815075,-0.428198104421899,0.2,0.602217174467004,0.10181060577454,0.107021227014842,0.25532278352487,0.0675096441114202,0.0692483443941271
2,2,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y20",418,80.833,6,725,107.778,6,0.166666667,"darkgreen",1.027869601,"T",-2.476757497,-0.550690222329919,0.00991592716574193,0.26300196430475,0.209915927165742,-0.287688258025168,0.2,0.877859985708591,0.104268680697748,0.107021227014842,0.448739791492061,0.0683301987084032,0.0692483443941271
7,7,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y22",573,225.353,6,961,218.005,6,0.083333333,"darkgreen",1.007740288,"T",-2.865359792,-0.517088692255553,0.0343559971358744,0.550238755622519,0.234355997135874,0.0331500633669664,0.2,0.389313418899405,0.0984946470837225,0.107021227014842,0.166074350842941,0.0664016957585379,0.0692483443941271
5,5,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y19",595,102.879,6,961,218.005,6,0.208333333,"darkgreen",1.020265762,"T",-2.282456354,-0.479413003424663,0.0135597302831463,-0.271551454501361,0.213559730283146,-0.750964457926024,0.2,0.761704332640516,0.103322515063972,0.107021227014842,0.346909522686838,0.0680144226197719,0.0692483443941271
1,1,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y19",583,129.823,6,725,107.778,6,0.208333333,"darkgreen",1.023057599,"T",-2.282456354,-0.217984468504182,0.0119477334571956,0.404082896747788,0.211947733457196,0.186098428243605,0.2,0.812279913369765,0.10373701086739,0.107021227014842,0.385298757019751,0.0681527687219419,0.0692483443941271
8,8,29,5,"13","SST","g aboveground plant biomass m-2",24,"Y23",782,199.637,12,961,218.005,6,0.041666667,"darkgreen",1.019603464,"T",-3.059660935,-0.206119668424981,0.014008083569564,0.0635569330134559,0.15946262902411,-0.142562735411525,0.145454545454545,0.74815400649034,0.12190885882178,0.129021941799513,0.337653896295933,0.0742034043199007,0.0765658231821913
4,4,26,5,"12","SST","g aboveground plant biomass m-2",24,"Y23",621,152.046,12,725,107.778,6,0.041666667,"darkgreen",1.031902963,"T",-3.059660935,-0.154840572921196,0.00867884088143328,0.444404669002512,0.154133386335979,0.289564096081316,0.145454545454545,0.91614670755524,0.124459923422977,0.129021941799513,0.498891724977293,0.0750509725178914,0.0765658231821913
17,17,48,8,"21","SST","g wet algal biomass L-1",4,"Y1",1174.4,458.741,40,1578.222,303.579,10,0.75,"blue",1.036911834,"A",0.243458546,-0.295541518061091,0.00751459480497993,0.665650382805124,0.0758906631810483,0.370108864744033,0.0683760683760684,0.948343567576805,0.204098400302749,0.221415047901762,0.556981228075254,0.101493432887878,0.107284771826302
10,10,45,8,"18","SST","g wet algal biomass L-1",9,"Y1",2.523,0.598,90,3.127,0.614,10,0.888888889,"blue",1.062207746,"A",0.891129034,-0.214625408816783,0.00447970470752133,0.138283656592807,0.0656532377911668,-0.0763417522239764,0.0611735330836454,0.996409903443938,0.228659402434109,0.241960047341969,0.777590147437871,0.109716514344465,0.114197258984541
11,11,45,8,"18","SST","g wet algal biomass L-1",9,"Y3",2.682,0.304,10,3.127,0.614,10,0.666666667,"blue",1.054158574,"A",-0.145143744,-0.153511293616217,0.00514028494055646,-0.549455933124704,0.116251396051668,-0.702967226740921,0.111111111111111,0.991330112074295,0.149474529643182,0.15420648167076,0.720065006325982,0.0833487614575036,0.0849172274068386
