"","es.type","mu","SE","p_value","power.Stanley_formula","power.Shinichi_two.tail","power.Shinichi_one.tail"
"1","RR",-0.311115720136668,0.0318887602960728,1.73396792752848e-22,1,1,1
"2","CVR",0.457089038940116,0.0660942233429962,4.65498151868925e-12,0.999999639749192,0.999999639749191,0.999999932108772
"3","VR",0.125790528187742,0.0681175161404361,0.0647950787102916,0.454898479226647,0.454968914910938,0.579969599253456
