"es.type","mu","SE","p_value","MA.power"
"RR",-0.311115720136668,0.0318887602960728,1.73396792752848e-22,0.999999999999997
"CVR",0.457089038940116,0.0660942233429962,4.65498151868925e-12,0.999999639749191
"VR",0.125790528187742,0.0681175161404361,0.0647950787102916,0.454968914910938
